Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1742926277.019	    60.700	0	566	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/10w_7-4-1*.fq.gz | paste -sd ',' -) --outFileNamePrefix 10w_7-4-1 --readFilesCommand zcat)) 2>&1 | tee 10w_7-4-1.log
1	:	1742926277.011	    64.861	0	566	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/10w_6-4-1*.fq.gz | paste -sd ',' -) --outFileNamePrefix 10w_6-4-1 --readFilesCommand zcat)) 2>&1 | tee 10w_6-4-1.log
2	:	1742926277.014	    64.972	0	566	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/10w_6-4-2*.fq.gz | paste -sd ',' -) --outFileNamePrefix 10w_6-4-2 --readFilesCommand zcat)) 2>&1 | tee 10w_6-4-2.log
5	:	1742926337.723	    68.220	0	567	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/10w_7-4-2*.fq.gz | paste -sd ',' -) --outFileNamePrefix 10w_7-4-2 --readFilesCommand zcat)) 2>&1 | tee 10w_7-4-2.log
3	:	1742926277.017	   131.575	0	568	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/10w_6-4-3*.fq.gz | paste -sd ',' -) --outFileNamePrefix 10w_6-4-3 --readFilesCommand zcat)) 2>&1 | tee 10w_6-4-3.log
6	:	1742926341.877	    70.230	0	568	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/10w_7-4-3*.fq.gz | paste -sd ',' -) --outFileNamePrefix 10w_7-4-3 --readFilesCommand zcat)) 2>&1 | tee 10w_7-4-3.log
7	:	1742926341.990	    80.132	0	568	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/23d_6_4_1*.fq.gz | paste -sd ',' -) --outFileNamePrefix 23d_6_4_1 --readFilesCommand zcat)) 2>&1 | tee 23d_6_4_1.log
8	:	1742926405.948	    58.110	0	567	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/23d_6_4_2*.fq.gz | paste -sd ',' -) --outFileNamePrefix 23d_6_4_2 --readFilesCommand zcat)) 2>&1 | tee 23d_6_4_2.log
9	:	1742926408.596	    70.825	0	568	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/23d_6_4_3*.fq.gz | paste -sd ',' -) --outFileNamePrefix 23d_6_4_3 --readFilesCommand zcat)) 2>&1 | tee 23d_6_4_3.log
10	:	1742926412.111	    69.786	0	567	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/23d_7_4_1*.fq.gz | paste -sd ',' -) --outFileNamePrefix 23d_7_4_1 --readFilesCommand zcat)) 2>&1 | tee 23d_7_4_1.log
