Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
31	:	1742938829.952	    77.199	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/HCT-116_E*.sam > HCT-116_E.bam)) 2>&1 | tee HCT-116_E.log
38	:	1742938829.973	    78.514	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/SiHa_F*.sam > SiHa_F.bam)) 2>&1 | tee SiHa_F.log
34	:	1742938829.960	    79.789	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/SiHa_B*.sam > SiHa_B.bam)) 2>&1 | tee SiHa_B.log
36	:	1742938829.966	    80.398	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/SiHa_D*.sam > SiHa_D.bam)) 2>&1 | tee SiHa_D.log
23	:	1742938829.935	    81.564	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/FaDu_C*.sam > FaDu_C.bam)) 2>&1 | tee FaDu_C.log
29	:	1742938829.948	    82.526	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/HCT-116_C*.sam > HCT-116_C.bam)) 2>&1 | tee HCT-116_C.log
30	:	1742938829.950	    82.585	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/HCT-116_D*.sam > HCT-116_D.bam)) 2>&1 | tee HCT-116_D.log
21	:	1742938829.930	    84.595	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/FaDu_A*.sam > FaDu_A.bam)) 2>&1 | tee FaDu_A.log
37	:	1742938829.969	    85.605	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/SiHa_E*.sam > SiHa_E.bam)) 2>&1 | tee SiHa_E.log
25	:	1742938829.939	    86.547	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/FaDu_E*.sam > FaDu_E.bam)) 2>&1 | tee FaDu_E.log
33	:	1742938829.958	    87.569	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/SiHa_A*.sam > SiHa_A.bam)) 2>&1 | tee SiHa_A.log
22	:	1742938829.933	    88.794	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/FaDu_B*.sam > FaDu_B.bam)) 2>&1 | tee FaDu_B.log
32	:	1742938829.955	    89.134	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/HCT-116_F*.sam > HCT-116_F.bam)) 2>&1 | tee HCT-116_F.log
28	:	1742938829.946	    89.346	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/HCT-116_B*.sam > HCT-116_B.bam)) 2>&1 | tee HCT-116_B.log
24	:	1742938829.937	    89.833	0	44	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools view -S -b ../3-align/FaDu_D*.sam > FaDu_D.bam)) 2>&1 | tee FaDu_D.log
