Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1742939344.388	    28.925	0	106	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o 10w_7-4-1_sorted.bam ../4-sambam/10w_7-4-1.bam)) 2>&1 | tee 10w_7-4-1.log
8	:	1742939344.397	    30.080	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o 23d_6_4_2_sorted.bam ../4-sambam/23d_6_4_2.bam)) 2>&1 | tee 23d_6_4_2.log
1	:	1742939344.380	    31.308	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o 10w_6-4-1_sorted.bam ../4-sambam/10w_6-4-1.bam)) 2>&1 | tee 10w_6-4-1.log
2	:	1742939344.384	    38.996	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o 10w_6-4-2_sorted.bam ../4-sambam/10w_6-4-2.bam)) 2>&1 | tee 10w_6-4-2.log
5	:	1742939344.391	    39.269	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o 10w_7-4-2_sorted.bam ../4-sambam/10w_7-4-2.bam)) 2>&1 | tee 10w_7-4-2.log
6	:	1742939344.393	    40.444	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o 10w_7-4-3_sorted.bam ../4-sambam/10w_7-4-3.bam)) 2>&1 | tee 10w_7-4-3.log
7	:	1742939344.395	    45.798	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o 23d_6_4_1_sorted.bam ../4-sambam/23d_6_4_1.bam)) 2>&1 | tee 23d_6_4_1.log
10	:	1742939374.482	    38.271	0	106	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o 23d_7_4_1_sorted.bam ../4-sambam/23d_7_4_1.bam)) 2>&1 | tee 23d_7_4_1.log
9	:	1742939373.318	    39.549	0	106	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o 23d_6_4_3_sorted.bam ../4-sambam/23d_6_4_3.bam)) 2>&1 | tee 23d_6_4_3.log
11	:	1742939375.693	    40.838	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o 23d_7_4_2_sorted.bam ../4-sambam/23d_7_4_2.bam)) 2>&1 | tee 23d_7_4_2.log
12	:	1742939383.384	    41.470	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o 23d_7_4_3_sorted.bam ../4-sambam/23d_7_4_3.bam)) 2>&1 | tee 23d_7_4_3.log
13	:	1742939383.663	    45.228	0	106	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o 24h_A_sorted.bam ../4-sambam/24h_A.bam)) 2>&1 | tee 24h_A.log
