Ingenuity Canonical Pathways,nlogp,Ratio,z-score,combined,Molecules
Synthesis of DNA,4.23,0.238,-3.528,-14.92344,"ANAPC1,ANAPC11,ANAPC4,CCNE2,CDC6,FEN1,GINS2,GINS3,GINS4,GMNN,MCM4,ORC1,ORC2,ORC5,POLA1,POLA2,POLD4,POLE2,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RFC2,RFC3,RPA3"
Cell Cycle Checkpoints,3.31,0.18,-3.857,-12.76667,"ABRAXAS1,ANAPC1,ANAPC11,ANAPC4,ATRIP,BRCC3,CCNE2,CDC6,CDC7,CDKN1A,CENPH,CENPI,CENPL,CENPM,CENPO,CENPT,CLSPN,DYNC1I1,DYNC1LI1,ERCC6L,MAPRE1,MCM10,MCM4,NBN,NDEL1,NUP160,ORC1,ORC2,ORC5,PPP2R1B,PPP2R5A,PPP2R5D,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RFC2,RFC3,RPA3,SKA2,TOPBP1,TP53,ZNF385A,ZW10,ZWINT"
Cyclins and Cell Cycle Regulation,5.88,0.302,-1.886,-11.08968,"CCNB3,CCND1,CCND3,CCNE2,CDC34,CDK4,CDKN1A,E2F3,E2F6,E2F7,HDAC1,HDAC5,HDAC7,HDAC9,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,RB1,RBL1,RBL2,TFDP1,TGFB1,TGFB3,TP53"
Generic Transcription Pathway,4.77,0.179,-2.294,-10.94238,"ESR2,HDAC1,HDAC5,HDAC7,HDAC9,KAT2B,MED24,MED7,NOTCH1,NOTCH2,NOTCH3,NR1D1,NR4A1,PPARA,PPARD,PPARG,RORB,VDR,ZFP37,ZKSCAN1,ZNF101,ZNF112,ZNF12,ZNF160,ZNF180,ZNF189,ZNF195,ZNF214,ZNF235,ZNF253,ZNF257,ZNF268,ZNF324,ZNF333,ZNF33B,ZNF347,ZNF350,ZNF37A,ZNF382,ZNF415,ZNF425,ZNF43,ZNF433,ZNF439,ZNF440,ZNF45,ZNF470,ZNF483,ZNF493,ZNF544,ZNF550,ZNF552,ZNF555,ZNF557,ZNF561,ZNF583,ZNF585A,ZNF611,ZNF664,ZNF678,ZNF692,ZNF697,ZNF70,ZNF703,ZNF708,ZNF718,ZNF724,ZNF738,ZNF75A,ZNF75D,ZNF772,ZNF774,ZNF782,ZNF790,ZNF839,ZNF860,ZNF875"
Activation of the pre-replicative complex,3.59,0.343,-2.887,-10.36433,"CDC6,CDC7,GMNN,MCM10,MCM4,ORC1,ORC2,ORC5,POLA1,POLA2,POLE2,RPA3"
Mitotic G1 phase and G1/S transition,7.12,0.28,-1.372,-9.76864,"AKT1,CABLES1,CCND1,CCND3,CCNE2,CDC6,CDK4,CDKN1A,DHFR,E2F3,E2F6,HDAC1,LIN54,MNAT1,MYC,ORC1,ORC2,ORC5,POLA1,POLA2,PPP2R1B,PPP2R2A,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PTK6,RB1,RBBP4,RBL1,RBL2,RRM2,TFDP1,TK1"
Cilium Assembly,3.88,0.201,-2.214,-8.59032,"AHI1,ARL13B,ARL6,BBS12,CC2D2A,CCT2,CEP135,CEP162,CEP290,CEP41,CEP63,CSNK1D,CSNK1E,DYNC2H1,EXOC2,GBF1,HAUS2,HAUS3,HAUS6,HAUS8,IFT22,IFT25,IFT46,IFT52,IFT56,IFT57,IFT70A,IFT70B,IFT80,INPP5E,LZTFL1,MAPRE1,MARK4,PKD2,SFI1,SSNA1,TMEM67,TTBK2,TUBA1A,TUBG1,UNC119B"
DNA Methylation and Transcriptional Repression Signaling,5.73,0.286,-1.46,-8.3658,"CDK10,CDK16,CDK4,CDK5,CHD3,E2F3,E2F6,E2F7,GADD45A,GLI1,HDAC1,MBD1,MBD3,MTA1,MYC,RB1,RBBP4,RBL1,RBL2,RELA,SAP30,TCF25,TCF3,TET1,TET2,TFAM,TP53,UHRF1"
Interferon alpha/beta signaling,4.22,0.276,-1.964,-8.28808,"EGR1,HLA-B,IFI6,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFNAR1,IRF3,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PTPN1,SAMHD1,USP18"
Cholesterol biosynthesis,2.72,0.333,-3,-8.16,"ACAT2,DHCR24,EBP,HSD17B7,IDI1,LSS,PMVK,SC5D,SREBF1"
S Phase,4.11,0.25,-1.8,-7.398,"AKT1,CABLES1,CCND1,CCNE2,CDK4,CDKN1A,ESCO2,LIN54,MNAT1,MYC,PDS5B,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,PTK6,RB1,RBBP4,RBL2,SMC1A,TFDP1"
Mitotic Metaphase and Anaphase,3.09,0.182,-2.287,-7.06683,"ANAPC1,ANAPC11,ANAPC4,CC2D1B,CENPH,CENPI,CENPL,CENPM,CENPO,CENPT,CHMP3,DYNC1I1,DYNC1LI1,ERCC6L,LEMD2,MAPRE1,NDC1,NDEL1,NUP160,NUP188,NUP62,NUP93,PDS5B,PPP2R1B,PPP2R2A,PPP2R5A,PPP2R5D,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RAN,SKA2,SMC1A,TUBA1A,VPS4A,VRK2,ZW10,ZWINT"
Neutrophil degranulation,3.06,0.159,-2.294,-7.01964,"AGA,AGL,ALAD,AMPD3,ANPEP,ARSB,ASAH1,ATP6V0A1,ATP8A1,CCT2,CD14,CEP290,COMMD9,CTSA,CTSD,CTSS,CYBB,DEGS1,DERA,DNAJC13,DOK3,DPP7,DSP,DYNC1LI1,EEF2,FABP5,FPR1,FRK,FUCA2,GGH,GLIPR1,GM2A,GSN,HEBP2,HLA-B,IDH1,IGF2R,IMPDH1,IQGAP2,KCMF1,KCNAB2,LAMP1,LAMTOR3,MAGT1,MAN2B1,MGST1,NBEAL2,NDUFC2,NPC2,OSTF1,PGAM1,PGM2,PGRMC1,PKM,PPIA,PRKCD,PRSS3,PSMA2,PSMC2,PTPRB,PYGB,PYGL,QSOX1,RAB3D,RAB9B,RAP1A,SELL,SLCO4C1,STK10,SVIP,TCIRG1,TIMP2,TMT1A,TNFRSF1B,UBR4,VPS35L"
PPAR Signaling,5.32,0.269,-1.177,-6.26164,"HSP90B1,IKBKE,IL1A,IL1B,IL1RAPL1,MAP2K1,MAP3K14,NFKB2,NFKBIA,NGFR,NRIP1,PDGFA,PDGFC,PDGFRB,PPARA,PPARD,PPARG,PPARGC1A,RAP1A,RASD1,RELA,RELB,RRAS,SOS1,STAT5A,STAT5B,TNFRSF11B,TNFRSF1B,TRAF2"
Hedgehog 'on' state,3.28,0.208,-1.826,-5.98928,"ARRB1,BOC,CDON,EFCAB7,GLI1,GRK2,NME1,NME7,NUMB,PIK3C2B,PIK3R1,PIK3R3,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,SHH,SMURF2,SPHK1,SPHK2,SPOP,SRPK3,STK10,STK3,STK32C,STK39"
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced),5.25,0.212,-1.131,-5.93775,"AFDN,AKT1,ARPC4,AXIN1,CLDN9,CTNNA1,CTNNB1,F11R,FOSL1,FOSL2,ICAM1,IL1A,IL1RAPL1,LAMA3,LAMA4,LAMB1,LAMB3,LAMC1,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,MAPK13,NECTIN2,NFKB2,NGFR,PIK3C2B,PIK3R1,PIK3R3,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRKAB2,PRKACB,PTK2,RAP1A,RASD1,RELA,RRAS,TGFB1,TGFB3,TNFRSF11B,TNFRSF1B,UBE2J1"
Glycosaminoglycan metabolism,4.24,0.234,-1.3,-5.512,"ABCC5,ARSB,B3GALT6,B3GNT7,B4GALT2,CHP1,CHPF,CHPF2,CHST15,CHST2,CSGALNACT1,CSGALNACT2,CSPG4,DSE,EXT1,GLCE,GPC1,HAS2,HMMR,HS3ST1,HS6ST1,NAGLU,NDST1,NDST3,SDC2,SDC3,SLC26A2,SLC9A1,ST3GAL4,XYLT2"
MITF-M-dependent gene expression,2.8,0.221,-1.964,-5.4992,"AGO2,AGO4,ASAH1,ATP6V0A1,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ATP6V1H,CCND1,CDKN1A,CTNNB1,DPF2,DPF3,HDAC1,LEF1,PPARGC1A,SMARCA4,SS18L1,SYTL2"
Inhibition of ARE-Mediated mRNA Degradation Pathway,3.04,0.198,-1.8,-5.472,"AGO2,AGO4,AKT1,CNOT11,DCP1A,DIS3L,EXOSC7,MAPK13,MAPK7,MAPKAPK2,NGFR,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRKACB,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,TNFRSF11B,TNFRSF1B,TNFSF12,TNFSF15,TNFSF9,ZFP36,ZFP36L1"
Mitotic Prometaphase,3.53,0.195,-1.441,-5.08673,"CENPH,CENPI,CENPL,CENPM,CENPO,CENPT,CEP135,CEP290,CEP41,CEP63,CSNK1D,CSNK1E,DYNC1I1,DYNC1LI1,ERCC6L,HAUS2,HAUS3,HAUS6,HAUS8,MAPRE1,NCAPG,NDEL1,NEK7,NME7,NUP160,PDS5B,PPP2R1B,PPP2R5A,PPP2R5D,SFI1,SKA2,SMC1A,SMC2,SSNA1,TUBA1A,TUBG1,TUBG2,TUBGCP4,ZW10,ZWINT"
Apoptosis Signaling,2.54,0.208,-1.886,-4.79044,"BIRC2,CAPN10,CAPNS1,CASP2,CASP3,CASP6,CASP7,CASP8,CYC1,IKBKE,MAP2K1,MAP2K7,MAP3K14,NFKB2,NFKBIA,RAP1A,RASD1,RELA,RELB,RRAS,TNFRSF1B,TP53"
ISGylation Signaling Pathway,1.77,0.183,-2.683,-4.74891,"BECN1,CCND1,EIF2A,FLNB,HERC5,IFIH1,IFNAR1,IRF3,ISG15,MAGT1,NFKB2,S100A4,TLR1,TLR3,TLR4,TLR6,TLR7,TP53,TSG101,USP18"
Superpathway of Cholesterol Biosynthesis,1.75,0.258,-2.646,-4.6305,"ACAT2,DHCR24,EBP,HSD17B7,IDI1,LSS,PMVK,SC5D"
Estrogen-mediated S-phase Entry,5.11,0.462,-0.905,-4.62455,"CCND1,CCNE2,CDK4,CDKN1A,E2F3,E2F6,E2F7,ESR2,MYC,RB1,RBL1,TFDP1"
Interferon Signaling,2.76,0.297,-1.633,-4.50708,"IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNAR1,ISG15,MX1,OAS1,PTPN2,RELA"
Mismatch Repair in Eukaryotes,1.84,0.316,-2.449,-4.50616,"FEN1,MLH1,MSH2,MSH3,RFC2,RFC3"
Pyruvate metabolism,1.76,0.224,-2.53,-4.4528,"FAHD1,GID4,LDHAL6A,ME3,MKLN1,MPC1,MPC2,PC,PDK2,PKM,SIRT4"
Cholesterol Biosynthesis I,1.99,0.385,-2.236,-4.44964,"DHCR24,EBP,HSD17B7,LSS,SC5D"
"Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)",1.99,0.385,-2.236,-4.44964,"DHCR24,EBP,HSD17B7,LSS,SC5D"
Cholesterol Biosynthesis III (via Desmosterol),1.99,0.385,-2.236,-4.44964,"DHCR24,EBP,HSD17B7,LSS,SC5D"
Amino acids regulate mTORC1,2.64,0.255,-1.604,-4.23456,"ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ATP6V1H,ITFG2,LAMTOR3,MIOS,NPRL2,RRAGC,SLC38A9,TCIRG1,WDR24"
TNFR1 Signaling,3.96,0.308,-1.069,-4.23324,"BIRC2,CASP2,CASP3,CASP6,CASP7,CASP8,CRADD,IKBKE,MAP3K1,MAP3K14,NFKB2,NFKBIA,PAK1,RELA,RELB,TRAF2"
PTEN Regulation,2.09,0.18,-1.961,-4.09849,"AGO2,AGO4,AKT1,CHD3,EGR1,FRK,HDAC1,HDAC5,HDAC7,LAMTOR3,MBD3,MTA1,PPARG,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RBBP4,RRAGC,SLC38A9,SNAI2,TP53,WWP2"
"Plasma lipoprotein assembly, remodeling, and clearance",2.84,0.237,-1.414,-4.01576,"AMN,AP2A1,AP2M1,APOBR,APOE,BMP1,CUBN,LDLR,LIPA,MBTPS1,MBTPS2,NPC1,NPC2,PCSK9,PRKACB,SCARB1,SOAT1,VLDLR"
