"","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","EDNRB",1127.7825058918,3.45417156006802,0.0804857258693802,42.9165733769213,0,0
"2","ALDH1A3",5967.00780419885,-4.08484140191772,0.113280734546348,-36.0594536950713,9.80530043142056e-285,9.61752892815886e-281
"3","FENDRR",830.185114880643,3.60124750055895,0.100839001340879,35.712843767514,2.49815306649381e-279,1.6335422901803e-275
"4","FOXF1",428.230447795718,3.57889887355136,0.10047013189021,35.6215206073607,6.50624705511145e-278,3.19082621200303e-274
"5","PLEKHH2",357.941574185878,4.1023117176006,0.137183108671756,29.903912787225,1.75029158327589e-196,6.86709399782461e-193
"6","SYT12",1086.92574403577,-3.96633626499802,0.135522180700204,-29.2670634762893,2.72393363830224e-188,8.90590103042919e-185
"7","CDH1",1957.5304021846,-6.10579428917419,0.216471538773249,-28.2059910682759,4.93743725603644e-175,1.38368152359524e-171
"8","LSR",1757.41550485446,-4.39774502768777,0.157401719012294,-27.9396251532951,8.81270913621519e-172,2.16098643906417e-168
"9","EHF",1541.39246238877,-4.12159442035704,0.166857198806113,-24.7013281407552,1.0349114548777e-134,2.03018580103358e-131
"10","CDH3",2680.92801143775,-5.41738975341769,0.219307159147903,-24.702293233228,1.01049205761669e-134,2.03018580103358e-131
"11","SLC1A3",571.311507773542,-3.21534443663142,0.131210645441853,-24.5052101207468,1.29983229326364e-132,2.31807364517753e-129
"12","MAL2",2316.58130575821,-2.48017263376217,0.106168324888267,-23.360758836238,1.07144837785003e-120,1.75155023569034e-117
"13","IGFBP3",3331.52391919328,-2.48356149529158,0.112753951812447,-22.0263809415984,1.60929047313436e-107,2.42841932395976e-104
"14","ESRP2",1146.64835516559,-1.99696456550793,0.0937332560232461,-21.3047604471638,1.02550727231604e-100,1.43695544007312e-97
"15","KRT19",5021.54650733898,-7.59873571182956,0.360205048326186,-21.0955836047819,8.73214237779482e-99,1.14198958016801e-95
"16","MCTP2",290.888703266629,3.90112136467791,0.188818759983817,20.6606661595081,7.82769894741734e-95,9.59724814071788e-92
"17","CRISPLD2",299.807867735839,2.99324749795616,0.148812619168969,20.1142047944031,5.54206341057906e-90,6.3952151720782e-87
"18","NECTIN3",250.992475396161,3.29276782300986,0.164662397440928,19.9970841806256,5.83878252787428e-89,6.36329982496166e-86
"19","RCAN1",1111.8443486358,2.20719723232351,0.111900740257815,19.7245990262281,1.32604754262897e-86,1.36910919177645e-83
"20","KCTD12",365.700062368522,-1.86918813064511,0.0953348935602073,-19.6065476221951,1.3595292619557e-85,1.33349427658925e-82
"21","ARFGEF3",583.712424995995,-2.53183218462149,0.129623410948,-19.5322138655738,5.84497891819706e-85,5.46004530658437e-82
"22","MPZL2",576.288584868946,-2.19303703337067,0.112345277715304,-19.5205092547645,7.35020183190324e-85,6.55404133347481e-82
"23","AGFG2",740.765920903588,-1.55516935933843,0.0798581268316586,-19.4741527386027,1.8190897812526e-84,1.55152540168836e-81
"24","TNFSF10",610.315522154239,-3.37957874766453,0.17978848988685,-18.7975256357706,7.91223585754874e-79,6.4672637840639e-76
"25","RARRES1",143.819809960332,-4.82158719672007,0.256694744151733,-18.7833498993264,1.03349245812364e-78,8.10960862040461e-76
"26","NPR3",290.863416039071,6.32342803884683,0.343826341253905,18.3913426056475,1.54115823037493e-75,1.16280388481788e-72
"27","IGFBP5",158.455109608629,7.79086927753985,0.426517810560344,18.266222616365,1.53730767078037e-74,1.11693942880365e-71
"28","GALNT7",609.094075923197,-3.8707590990156,0.21281525871577,-18.1883532335681,6.38292898746599e-74,4.47192564096859e-71
"29","ATP6V0E2",263.036897630372,-2.89311080059994,0.160139424896348,-18.0661995162812,5.88292725741612e-73,3.97949600030111e-70
