"","gene_name","baseMean.MDA24h10w_24h","log2FoldChange.MDA24h10w_24h","lfcSE.MDA24h10w_24h","stat.MDA24h10w_24h","pvalue.MDA24h10w_24h","padj.MDA24h10w_24h","baseMean.MDA24h10w_10w","log2FoldChange.MDA24h10w_10w","lfcSE.MDA24h10w_10w","stat.MDA24h10w_10w","pvalue.MDA24h10w_10w","padj.MDA24h10w_10w"
"419","AJUBA",6946.55987393976,-0.0933393529727859,0.0856904876314218,-1.08926154527518,0.27603856542391,0.446531514832864,6946.55987393976,-0.194092114512815,0.0993028239332767,-1.95454778449432,0.0506364695383093,0.119816929245611
"562","AMOT",2.66248414861594,-1.58775621264207,1.32730488039079,-1.19622570224755,0.231608493442125,0.392884682620285,2.66248414861594,-0.688662512652048,1.31379865240149,-0.524176601485504,0.600155713697031,0.740442291289035
"563","AMOTL1",3808.40023966709,0.267521695144337,0.0674639393781403,3.96540281534492,7.32721020427408e-05,0.0005437981487732,3808.40023966709,-0.061394200982111,0.0788266541327504,-0.778850779061588,0.436067621297265,0.602935498374057
"564","AMOTL2",4557.34353082099,-0.0295081624196422,0.0844574104749878,-0.349385119123219,0.72680020350488,0.839280646021858,4557.34353082099,0.412200299638639,0.0981693892909057,4.19886792223148,2.68252720539318e-05,0.000177132886873993
"990","ARRDC3",1699.58585226303,0.676088746358868,0.180726664262005,3.74094630208369,0.000183328690353165,0.00119881257340245,1699.58585226303,-0.651596348103325,0.210070428055875,-3.10179949711918,0.00192348190249975,0.00756112968446817
"1597","BTRC",1503.774869507,0.499737977133021,0.127967273209886,3.90520142062708,9.41469357212213e-05,0.000673869821241466,1503.774869507,0.162398627836831,0.148440132242374,1.09403451333272,0.273939841583316,0.435810102074292
"1972","CASP3",2734.98013062922,0.50265762717584,0.149200954911948,3.36899738659506,0.000754421441483572,0.00397479764528149,2734.98013062922,1.08855086814553,0.171628254364182,6.34249222063234,2.260776293902e-10,4.12493577549942e-09
"2261","CD44",28044.8120540119,0.845830944011582,0.122390035447653,6.91094614784508,4.8143180530315e-12,2.80434026589085e-10,28044.8120540119,-0.0440817327122801,0.141361535716346,-0.311836826679175,0.755164534926518,0.854282610804231
"2712","CIT",3676.61047859278,0.919906992247563,0.123208538494748,7.46626007812578,8.25061975018222e-14,6.64099884255576e-12,3676.61047859278,-0.313028591404381,0.142455756163375,-2.19737411695309,0.0279937382481512,0.0738855138077296
"3165","CSNK1D",5337.33664311475,0.155868218414801,0.0680748592634211,2.28965906211655,0.0220410883034592,0.0640156784775553,5337.33664311475,0.261721938121501,0.0788708734951407,3.31835982693441,0.000905477568504534,0.00394764672654541
