"","gene_name","baseMean.MDA24h10w_24h","log2FoldChange.MDA24h10w_24h","lfcSE.MDA24h10w_24h","stat.MDA24h10w_24h","pvalue.MDA24h10w_24h","padj.MDA24h10w_24h","baseMean.MDA24h10w_10w","log2FoldChange.MDA24h10w_10w","lfcSE.MDA24h10w_10w","stat.MDA24h10w_10w","pvalue.MDA24h10w_10w","padj.MDA24h10w_10w"
"501","ALG1",662.167732617784,-0.914104900625404,0.14418216279893,-6.33993056339551,2.29868738636627e-10,8.82975189539564e-09,662.167732617784,-0.897177931066927,0.166565836030416,-5.38632622660445,7.1912389123807e-08,8.40029495145581e-07
"582","ANAPC4",1055.73231749053,-0.330281628116326,0.139704989061425,-2.36413624406148,0.0180721650414879,0.0545553867294012,1055.73231749053,-0.434931594876324,0.161999988688711,-2.68476311879293,0.00725812277898663,0.0237169411724115
"1205","ATRIP",450.850615470773,-0.314722466337101,0.138383595723103,-2.27427582505401,0.0229494077391998,0.0661331346209519,450.850615470773,-0.808646394978322,0.159703234197794,-5.0634315519046,4.1177627005669e-07,4.16050287145448e-06
"1250","B3GALT6",960.952180340896,-0.866691783493385,0.152449772552169,-5.68509725520777,1.30738237579118e-08,3.07860732852528e-07,960.952180340896,-0.571957082046231,0.174994959848495,-3.26842031645605,0.0010814962566187,0.00461068312275445
"1928","CAPNS1",12973.2112193498,-0.205055290167432,0.0683724560717705,-2.99909206058336,0.00270785473206946,0.0115850909870708,12973.2112193498,-0.219308426925767,0.0790849346851237,-2.77307464182581,0.00555293822603394,0.0188597823148697
"2460","CENPM",686.829207240336,-0.66163578702725,0.178138423140958,-3.71416663155096,0.000203874430402313,0.00131137247132734,686.829207240336,-0.749916419047817,0.204564823862241,-3.66591090730647,0.000246459724701489,0.00126270508643044
"2461","CENPO",1316.24425532809,-0.333821521522282,0.125813647053662,-2.65330136547031,0.00797086694090424,0.0282465703000865,1316.24425532809,-0.570379386181411,0.145432506600706,-3.92195252294882,8.78343018218454e-05,0.000506473843562526
"2918","COL16A1",372.634889096768,-0.78127508810653,0.204744830719685,-3.81584768396995,0.000135716207398179,0.000925048862829905,372.634889096768,-0.954707216365277,0.225763505493896,-4.22879337507049,2.34947999055364e-05,0.000157088939102527
"2936","COL6A1",4656.00127898318,-0.509525241846803,0.122085319492616,-4.17351770028025,2.99932347241185e-05,0.00025303004831295,4656.00127898318,-0.795179799479946,0.141473455509959,-5.62069963311223,1.90185682481979e-08,2.49529128044835e-07
"3246","CTSD",20453.2227312814,-0.697567757609139,0.157146973161347,-4.43895127965925,9.03982750098347e-06,8.89318141041196e-05,20453.2227312814,-0.980765138984508,0.181581151172554,-5.40124970378946,6.61782295527482e-08,7.78034795327779e-07
"5546","GMPPB",1293.19237105952,-0.675497527426357,0.109719987007247,-6.15655858017683,7.43426838173116e-10,2.43788934266102e-08,1293.19237105952,-0.655422148013204,0.125415346209601,-5.22601234874262,1.73204796657041e-07,1.90525276322745e-06
"6679","INPP5K",928.702898013654,-0.621521512743738,0.0909061497498928,-6.83695783457677,8.08925373415628e-12,4.51875410487191e-10,928.702898013654,-0.464878270551969,0.104542921333199,-4.44676946677537,8.7171299586664e-06,6.45267191462036e-05
"8596","MED7",523.077262199044,-0.487420983867123,0.149687808034403,-3.25625039385371,0.0011289414392534,0.00554543550798868,523.077262199044,-0.882132270723437,0.177812768078176,-4.96101759315509,7.01248394836161e-07,6.73570474106288e-06
"8962","MPC1",827.039525128323,-0.229908113676272,0.0945285479612657,-2.43215535025969,0.0150092682062703,0.0471369719900247,827.039525128323,-0.364158415367331,0.110016642876051,-3.31003024494762,0.000932858906704692,0.00404850032713211
"10588","PDGFRB",400.299982163306,-1.0277420949557,0.174643189389822,-5.88481061612816,3.98510045894735e-09,1.08233372587484e-07,400.299982163306,-1.46967522187609,0.217820683932832,-6.74717935570017,1.50746889177644e-11,3.32046615018301e-10
"12606","RPA3",1315.6376987502,-0.360779924393674,0.142899633729638,-2.5247085312777,0.0115794282935494,0.0383053458289133,1315.6376987502,-0.523704442949016,0.165196515771291,-3.1701906090687,0.00152338969497267,0.00618719017881899
