"","gene_name","MDA 24h","MDA 10w"
"1972","CASP3",0.50265762717584,1.08855086814553
"3165","CSNK1D",0.155868218414801,0.261721938121501
"3166","CSNK1E",0.777219494026441,0.928774941492501
"3684","DLG1",0.487975969942651,0.351109707486426
"3688","DLG4",0.484761414096854,0.852181995580293
"5163","FRMD6",0.283195270884439,0.51480725126492
"9661","NF2",0.292977703152301,0.669430481017654
"11349","PPP2R2D",0.269278723728016,0.439198255505998
"11353","PPP2R5A",0.780742492143234,0.35580717938091
"11357","PPP2R5D",0.614538934218747,0.404107060544318
"13186","SAV1",0.308697127822983,0.215598579023922
"13628","SIKE1",0.399288654765725,0.444487225072069
"14011","SMAD4",0.314037027100699,0.303386021745961
"14698","STK3",0.498631838984757,0.346546078819394
"14735","STRN4",0.453637651424309,0.52779803888328
"15101","TEAD3",0.49974981552718,1.14270792729349
"16793","WWC2",0.621800766238365,0.578740793102754
