"","gene_name","MDA 24h","MDA 10w"
"92","ABRAXAS1",-0.370033032299376,-0.44876694631032
"378","AGL",-0.480104084993069,-0.770494055627667
"426","AK4",-0.250802752600368,-0.391637111957822
"501","ALG1",-0.914104900625404,-0.897177931066927
"582","ANAPC4",-0.330281628116326,-0.434931594876324
"979","ARPC4",-0.346586205246204,-0.283683522567673
"1205","ATRIP",-0.314722466337101,-0.808646394978322
"1250","B3GALT6",-0.866691783493385,-0.571957082046231
"1429","BIK",-1.06125932064685,-1.05644752948459
"1465","BMP1",-0.245966146100586,-0.349400576359909
"1471","BMP4",-1.31516910115063,-4.0955626405367
"1524","BRCC3",-0.546828929165148,-1.11887287720784
"1826","CABLES1",-0.427371932211049,-0.950373769394142
"1928","CAPNS1",-0.205055290167432,-0.219308426925767
"1974","CASP6",-0.425891208616901,-0.700130336064758
"1993","CAV1",-0.768487393915153,-1.92396794410328
"2027","CC2D1B",-0.514418828941596,-0.317868479879097
"2170","CCNB3",-1.2706596223858,-1.135648830762
"2172","CCND1",-0.373749265551716,-0.227044127341896
"2175","CCND3",-0.494899335627262,-0.313868048217931
"2178","CCNE2",-0.8692888121019,-0.741296047316577
"2326","CDC6",-0.847920538134781,-0.473321568238303
"2327","CDC7",-0.274813546193006,-0.586130263090972
"2377","CDK4",-0.6097040533894,-0.350631238575843
"2378","CDK5",-1.06318732513595,-0.76495122043503
"2456","CENPI",-0.376108712685435,-1.36547829123143
"2459","CENPL",-0.168812900178535,-0.78229686481624
"2460","CENPM",-0.66163578702725,-0.749916419047817
"2461","CENPO",-0.333821521522282,-0.570379386181411
"2475","CEP135",-0.29819481966677,-0.937280188450358
"2492","CEP41",-0.518023611228691,-0.438601589499181
"2498","CEP63",-0.361965848628305,-0.773078519552793
"2635","CHMP3",-0.231126757376147,-0.356759697887372
"2649","CHPF2",-0.436809580274652,-0.33590567145151
"2671","CHST2",-0.390239688967595,-0.345723043678848
"2673","CHST4",-1.82145552974489,-1.99424774083702
"2793","CLN6",-0.662879417879365,-0.730402361753977
"2803","CLSPN",-0.836094077787562,-0.532581325317536
"2905","COG2",-0.28476875969733,-0.42340513921163
"2918","COL16A1",-0.78127508810653,-0.954707216365277
"2922","COL1A2",-1.19936137929955,-1.25793702568296
"2936","COL6A1",-0.509525241846803,-0.795179799479946
"3233","CTNNB1",-0.411732216716409,-0.361960628476591
"3246","CTSD",-0.697567757609139,-0.980765138984508
"3383","DAG1",-0.462924292696521,-0.679127436638246
"3606","DHFR",-0.620111137229554,-0.939109078644604
"3900","DSCC1",-1.13554669670812,-0.681704397910831
"3974","DYNC1I1",-1.5672839620039,-1.06888059170417
"3976","DYNC1LI1",-0.419689703110323,-0.311285574007015
"4002","E2F3",-0.208489988087106,-0.186639226289468
"4006","E2F6",-0.438492101393876,-0.404273062446686
"4259","ELF3",-1.06884657695723,-1.31434901447793
"4359","ENSA",-0.304207421302722,-0.305443571817126
"4456","ERCC6L",-0.384161952504269,-1.48646263350787
"4504","ESCO2",-0.608371672308754,-0.906246508168523
"4512","ESR2",-1.64249680704662,-0.778062807376101
"4631","FAHD1",-0.946589078091133,-0.536026530174192
"4939","FEN1",-0.504804339983468,-0.518352886367425
"5002","FIGNL1",-1.04232721196643,-0.878029311805741
"5466","GINS2",-0.904329683272942,-0.791539588135931
"5467","GINS3",-0.911918888863203,-1.06586345154103
"5468","GINS4",-1.19344879346719,-0.926406551932507
"5494","GLCE",-0.248862150220401,-0.900290711130596
"5544","GMNN",-0.27040874885756,-0.527577799149106
"5546","GMPPB",-0.675497527426357,-0.655422148013204
"5810","GSN",-0.90437630283695,-0.563150956881332
"5986","HAUS3",-0.878133247025841,-1.7066125411649
"5992","HAUS8",-0.395607113894669,-0.441564826287957
"6009","HDAC1",-0.419143734595814,-0.498426868822307
"6210","HMMR",-0.800279491672511,-1.47574080228613
"6454","IDH1",-1.05994983644428,-1.30387876559785
"6492","IFNAR1",-0.435777207822337,-0.659770759420586
"6559","IKBKE",-0.753579646100307,-1.32051603152068
"6679","INPP5K",-0.621521512743738,-0.464878270551969
"6796","ITGAE",-0.40411569125991,-0.534023568779532
"6811","ITGB6",-1.78955756002194,-3.15398596462969
"6813","ITGB8",-0.543218445894248,-2.4581133398213
"6900","KAT2B",-0.694604467163467,-0.768071518896314
"7379","LDHAL6A",-0.704663414811887,-1.68718748212197
"7459","LIN54",-0.282352659953138,-0.955054738745349
"8080","LPIN1",-0.904410215738159,-0.623233466714597
"8375","MAP2K6",-1.95989158925902,-4.14229523434821
"8435","MAPRE1",-0.215019522601178,-0.336651864692122
"8522","MCM10",-0.881919753341816,-0.748108254565252
"8527","MCM4",-0.615832672864425,-0.547181048233873
"8562","ME3",-0.286540698043063,-0.420018191522215
"8596","MED7",-0.487420983867123,-0.882132270723437
