"","gene_name","MDA 24h","MDA 10w"
"501","ALG1",-0.914104900625404,-0.897177931066927
"582","ANAPC4",-0.330281628116326,-0.434931594876324
"1205","ATRIP",-0.314722466337101,-0.808646394978322
"1250","B3GALT6",-0.866691783493385,-0.571957082046231
"1928","CAPNS1",-0.205055290167432,-0.219308426925767
"2460","CENPM",-0.66163578702725,-0.749916419047817
"2461","CENPO",-0.333821521522282,-0.570379386181411
"2918","COL16A1",-0.78127508810653,-0.954707216365277
"2936","COL6A1",-0.509525241846803,-0.795179799479946
"3246","CTSD",-0.697567757609139,-0.980765138984508
"5546","GMPPB",-0.675497527426357,-0.655422148013204
"6679","INPP5K",-0.621521512743738,-0.464878270551969
"8596","MED7",-0.487420983867123,-0.882132270723437
"8962","MPC1",-0.229908113676272,-0.364158415367331
"10588","PDGFRB",-1.0277420949557,-1.46967522187609
"12606","RPA3",-0.360779924393674,-0.523704442949016
"13961","SLC9A1",-0.407871013822857,-0.329740003867506
"14584","SSNA1",-0.326091037354708,-0.291952706525077
"15311","TIMP2",-0.356101570875122,-0.198247424647216
"15744","TOPBP1",-0.196874082100253,-0.37442434553901
"16122","TUBA1A",-0.497149695402531,-1.07394765848733
"17272","ZNF33B",-1.43535534986734,-0.7740203132775
"17532","ZNF703",-1.06767817464074,-1.29441274077473
