"","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","TIE1",631.276303167519,4.56261456363801,0.177424930993736,25.7157465869275,7.79288354834886e-146,1.41097949526405e-141
"2","MMP3",700.71650911575,4.60702469759093,0.190959129084415,24.1257106674086,1.34333334262403e-128,1.21611967507754e-124
"3","FBLIM1",1069.03809312471,2.9941108510469,0.13479257421584,22.2127284716182,2.58738746065021e-109,1.56157457875109e-105
"4","DMKN",447.008785732137,4.78434229366017,0.230000173626386,20.801472530329,4.19723602892456e-96,1.8998788884927e-92
"5","ESM1",1662.4760462939,2.98053535034561,0.143709687438444,20.7399751782376,1.51003502971526e-95,5.46813884960489e-92
"6","TRIB2",3064.95818382996,-3.15550357351806,0.161650376465154,-19.5205457761385,7.3449499486234e-85,2.21646106282959e-81
"7","S100A4",14307.4299428504,-3.03548680904635,0.158911113728594,-19.1017905407843,2.4397511863408e-81,6.31059071141235e-78
"8","BMP4",10444.5253259637,-4.0955626405367,0.223236793111888,-18.3462707174976,3.53562616777689e-75,8.00200592422106e-72
"9","TIMP3",18460.6007723511,-2.65711316299971,0.145616530830367,-18.2473318643682,2.17264534842644e-74,4.37087963095656e-71
"10","PLIN2",5597.40160991268,2.42332831313368,0.132874083578238,18.237780068728,2.5875594790849e-74,4.68503519283112e-71
"11","PPL",2347.40465933132,-4.12087838723451,0.23451765308441,-17.571719369677,4.05688570988418e-69,6.67763387846936e-66
"12","FAM13B",1799.98419154922,-1.87505023760488,0.106903048641241,-17.5397265226496,7.12695371059724e-69,1.04128659624571e-65
"13","KLHL4",1856.89568644024,-3.78288532210553,0.215708729320317,-17.5370061936072,7.47637564961569e-69,1.04128659624571e-65
"14","ANGPTL4",1313.90614022825,4.37276889848123,0.253413670358081,17.255457814499,1.01811546212239e-66,1.31671418265629e-63
"15","GALNT7",2565.53015277942,-1.74455834226351,0.10236887133838,-17.0418831374713,4.0158986911984e-65,4.84745744685589e-62
"16","MYO1D",520.51674124436,2.02996628160113,0.122716113751126,16.5419700767089,1.82940328526405e-61,2.07019849268693e-58
"17","G0S2",9373.61715821386,2.22730844644134,0.134829247924633,16.519475415945,2.65698982611417e-61,2.82985045833077e-58
"18","NRP1",9368.9240990002,-1.47758804658824,0.0894667949545535,-16.5154909968421,2.83841529261842e-61,2.85513040489717e-58
"19","ADAMTSL4",997.715484573212,2.95875857759804,0.180151439715454,16.4237298479066,1.29364316448017e-60,1.23277384926727e-57
"20","PYGL",7068.11995462968,1.64889769203334,0.100427953618869,16.4187124462479,1.40516899565907e-60,1.27209949177015e-57
"21","IL13RA2",154.25405718099,5.47285441207692,0.338897088863344,16.149015709851,1.15388248531546e-58,9.94866489481988e-56
"22","SLCO4A1",1735.22145928919,-3.43786046695338,0.218466096559141,-15.7363569043434,8.52103256556579e-56,7.01280980146065e-53
"23","WTIP",704.851039756471,2.22509142974518,0.143051239746039,15.5545064390593,1.482940053451e-54,1.16739620033842e-51
"24","S100A3",877.255814305994,-2.70967171602988,0.176660247108303,-15.3383217808401,4.24015730021147e-53,3.19884533656787e-50
"25","IFIT2",5216.73767339013,-4.21117882518326,0.280279359419724,-15.0249338156825,5.04116669558374e-51,3.65101456760957e-48
"26","UTP14A",1089.33002170117,-1.42255259749028,0.0950245585117668,-14.9703678687876,1.14685122084146e-50,7.98649546329057e-48
"27","IL1B",706.212836809403,3.40813993546244,0.22819946144364,14.9349166466117,1.95318175690096e-50,1.30978921816477e-47
"28","PAG1",967.880155805114,-2.30775291535686,0.154821371585509,-14.9059066698829,3.01689372912945e-50,1.95085278070064e-47
"29","TLR6",469.479572141235,-2.55677554818138,0.172357105360992,-14.834175491787,8.80794808220025e-50,5.49919682676957e-47
"30","FHL2",2455.07965116763,1.56344465763543,0.106049631879492,14.7425750559137,3.434357087761e-49,2.07274898103335e-46
"31","PRSS23",17813.7736916401,-1.6094423300951,0.109532242689239,-14.693776833013,7.06629400613249e-49,4.12717158951725e-46
"32","DPYSL2",3056.72774863563,-2.66156746829,0.182359237072536,-14.5951886562858,3.01377871371197e-48,1.70523366845215e-45
"33","GPAM",968.382057532192,1.78856572234413,0.122907569004765,14.5521202382156,5.66205529203478e-48,3.10658100356308e-45
"34","ADTRP",596.603341696218,2.35387222445386,0.161831232823267,14.5452282812706,6.26215973980051e-48,3.33478424261259e-45
"35","DFFA",2829.3982731389,1.20800760405231,0.0839991884661671,14.3811818436658,6.79246433227467e-47,3.51383883429043e-44
"36","TGFBR3",1838.70958623346,-2.13584295436523,0.149065848985626,-14.3281842816405,1.45885070606052e-46,7.33720857886992e-44
"37","SVIL",3372.72560398153,-1.74145671394456,0.123386037735479,-14.1138879723003,3.11897109634175e-45,1.52627272082064e-42
"38","DNAH2",1698.83082954131,-3.25964113750511,0.231247434942449,-14.0959018132086,4.02473357980096e-45,1.91767963673358e-42
"39","CSPG4",725.955472004588,2.0265123632645,0.143898045981485,14.0829734652911,4.83325638606392e-45,2.24387025964291e-42
"40","GJB2",617.911484848753,-1.83538267237911,0.13117944359377,-13.9913893678558,1.75940863640842e-44,7.9639631927027e-42
"41","ENTPD3",234.413532505468,2.55193770558767,0.182957752841809,13.948234857225,3.22488215318066e-44,1.42413942110949e-41
"42","ALS2CL",2796.76208220415,1.96800483827609,0.142253302595188,13.8345107099303,1.57806565195224e-43,6.80296587958268e-41
"43","ZNF618",786.937968575059,-1.75984048643582,0.127497094574039,-13.8029850195046,2.44514267207558e-43,1.02957565629303e-40
"44","GRAMD1B",330.069460478843,4.3561026625971,0.315645413404041,13.800620815678,2.52667268470881e-43,1.03972580975767e-40
"45","SUN3",379.984315134015,2.73340016618197,0.199474073842479,13.7030347529799,9.73680599004484e-43,3.91765798346115e-40
"46","P3H3",203.551588735598,4.53542424161648,0.331576645591452,13.6783585391739,1.36744805705551e-42,5.38239446109718e-40
"47","KIF4A",3000.65615374334,-1.33389482350096,0.0977041979605973,-13.6523798500337,1.95391660590928e-42,7.52715192906242e-40
"48","PIK3R3",301.605903104083,-3.12354244604262,0.229026323543078,-13.6383556165984,2.36840967648691e-42,8.93383866718167e-40
"49","EFEMP2",354.039200019051,2.58861922647538,0.190185274326302,13.6110392123949,3.44312788350224e-42,1.27227088691207e-39
"50","RARRES2",1124.48956270468,-2.43546748062456,0.180222559502652,-13.5136660324076,1.29888773193332e-41,4.70353225487693e-39
"51","CAV1",30744.1162660013,-1.92396794410328,0.143285308638677,-13.4275311431611,4.17086114054395e-41,1.48073748648409e-38
"52","ULK2",548.960481600894,2.26335901758828,0.168714750309375,13.4153001645554,4.9193727168935e-41,1.71288773869372e-38
"53","FZD1",1305.58055532146,-2.45439140301169,0.184911274093466,-13.27334644707,3.3048590757338e-40,1.12901468726861e-37
"54","SUSD3",326.788673062493,3.16615154404458,0.239056769718315,13.2443500670377,4.8647492903956e-40,1.63113241947968e-37
"55","SPTBN2",1004.82914588111,1.79317977003325,0.138283896532931,12.9673795358104,1.87325618150482e-38,6.16675934951387e-36
"56","SPOCD1",472.07113903068,1.80981085725565,0.139946355544886,12.9321756912432,2.96313297192877e-38,9.58044385531113e-36
"57","MAPK13",6345.42572760558,1.70100167141202,0.131866757111504,12.8993971541568,4.53631969555155e-38,1.44095797206415e-35
"58","IFI44",2265.82453904604,-2.72335737519933,0.212027883792418,-12.844335973591,9.25425747269533e-38,2.88892389311417e-35
"59","GADD45A",2386.90936195704,1.80033524571457,0.141187209567206,12.7514046862552,3.06178047225269e-37,9.39603342891647e-35
"60","ERCC2",3678.18400882182,1.2461001032526,0.0985223404800151,12.6478938399293,1.14914202821894e-36,3.46772759382203e-34
"61","CADPS",81.255797916638,4.85440071319174,0.38399093427066,12.6419669839655,1.23914708623801e-36,3.67803231859434e-34
"62","TET2",937.723789224361,-1.60099904625692,0.126745497488024,-12.6316048931694,1.4136526184042e-36,4.12832166271393e-34
"63","ISYNA1",511.416172002748,2.16225065666581,0.171475840358896,12.6096519028002,1.86816313164782e-36,5.36904153358975e-34
"64","PLEKHG5",578.823690700511,1.99157178762727,0.159836336429146,12.4600690438755,1.23263855574979e-35,3.4872115141259e-33
"65","RTL5",492.368825500298,-1.57095064442917,0.127189717452089,-12.3512393603746,4.79667337796726e-35,1.33613181817654e-32
"66","DUX4L33",289.332700669292,3.322094664388,0.26956983986446,12.3236882362595,6.75334767144089e-35,1.85266837786528e-32
"67","KISS1",740.877872327277,5.00065739341919,0.406173854494716,12.3116181361305,7.84346759994563e-35,2.11960931887486e-32
"68","CIITA",412.028873462152,-3.93966096556958,0.320216405585228,-12.3031203175535,8.71415277403524e-35,2.32027132539238e-32
"69","LIMA1",9192.40433783288,1.44660940858807,0.118493501637469,12.2083438213681,2.80541725677441e-34,7.3615775146605e-32
"70","KLC3",150.946385118633,3.51219246150241,0.288066271078067,12.1923071672303,3.41610847974785e-34,8.83600859061637e-32
"71","FOSL2",6555.39190526579,-1.2029184714275,0.0988679279222142,-12.1669230528824,4.66332039859347e-34,1.18921238221033e-31
"72","LINC00973",1264.1356191772,1.4819407417069,0.122156556436017,12.1314875348759,7.19308077425941e-34,1.80886000692696e-31
"73","MDK",1122.61707551669,2.1938886077517,0.182478425287526,12.0227287379034,2.69908328610591e-33,6.69446602441555e-31
