"","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ALPP",799.415663971048,-2.99301113858569,0.198563721281347,-15.073303014627,2.42671241402311e-51,4.29722234275212e-47
"2","FRAS1",3009.37669171475,-1.16374630129368,0.0789651172270755,-14.7374732307072,3.70385354052446e-49,3.27939192478035e-45
"3","AREG",3326.55023383797,2.58111288438093,0.178452657144016,14.4638523499143,2.04995695653599e-47,1.21002125954465e-43
"4","DHCR24",8858.00212304685,-1.09414257719699,0.0770662101763247,-14.1974358761594,9.50262211017289e-46,4.20681080817354e-42
"5","FAM13B",1799.98419154922,-1.17755298799838,0.0878642484393766,-13.4019582357306,5.8888589661824e-41,2.08559829146316e-37
"6","ADIRF-AS1",738.392773416952,2.39489267783729,0.187711160387731,12.758392590459,2.79917650120324e-37,8.26130291388451e-34
"7","ARHGAP31",1266.10051480971,-1.6558969233612,0.130561169894915,-12.6829203866202,7.35399088094586e-37,1.86034957885413e-33
"8","FGFBP1",65.8441481155231,-3.76832767866152,0.300710447989407,-12.531415864853,5.02573556338955e-36,1.11244656695628e-32
"9","HSPH1",9719.56328796465,-1.3980279039043,0.115755354802751,-12.0774361262731,1.38986153369279e-33,2.6281216813552e-30
"10","G0S2",9373.61715821386,1.42846650749495,0.11832853923211,12.0720370315137,1.48414370982336e-33,2.6281216813552e-30
"11","PPARGC1A",226.118315953291,-2.7254092417534,0.234670727898415,-11.6137588448321,3.50846067407973e-31,5.64798378332762e-28
"12","YARS1",4823.23622337532,1.0985805855733,0.0947154199369882,11.5987511463726,4.18135396696958e-31,6.17028467059144e-28
"13","HOXB9",700.651615116093,2.02563381971574,0.175964905086601,11.5115785089011,1.15347519761183e-30,1.57121067687002e-27
"14","UBA2",5078.97443143048,0.999665657294536,0.0872055635379536,11.4633243194336,2.01624361016509e-30,2.55026013205739e-27
"15","GJB2",617.911484848753,1.28530270067852,0.114403823664424,11.2347879599606,2.75153661653804e-29,3.24828069371037e-26
"16","PEG10",3640.10197417296,-1.60746700786251,0.14642865403709,-10.9778172751308,4.8858640422039e-28,5.40743002870916e-25
"17","VPS18",1076.8886941906,-0.94499785618534,0.0863783017895611,-10.9402226786953,7.40178856572647e-28,7.71005128952261e-25
"18","PIP4K2C",1445.93370402823,-0.814176915307489,0.0749458150364791,-10.8635407448861,1.71950099270206e-27,1.66169109929385e-24
"19","ERRFI1",26338.9601044461,1.87070859975551,0.172253076015055,10.8602333440594,1.7829303640492e-27,1.66169109929385e-24
"20","MIR100HG",6002.05797971601,1.55723039964364,0.144030185704985,10.8118335890596,3.02561138791313e-27,2.67887632285829e-24
"21","TMEM97",1409.11942095992,-1.39956194244964,0.129840458868158,-10.7790896200604,4.3214138054192e-27,3.64398074601729e-24
"22","CPM",518.753649624274,2.40845044148166,0.224347084684078,10.73537659236,6.94352845880665e-27,5.58890917947946e-24
"23","BLTP3A",2446.36072107563,1.39216926213481,0.1314460213085,10.5911860113851,3.27416878824623e-26,2.52082525662018e-23
"24","LIPA",3649.66632317147,-1.08400265545009,0.102759729682079,-10.5489052842374,5.13923742724566e-26,3.79190068173609e-23
"25","RARRES2",1124.48956270468,-1.50547417326313,0.144528772065479,-10.4164323251918,2.08633108647504e-25,1.477790035172e-22
"26","ME1",1717.04780817243,-1.03825925801482,0.0999266554855761,-10.3902132315905,2.74738201087856e-25,1.82937415038331e-22
"27","KLF9",594.514824673925,2.11592037256003,0.203673838407875,10.388768577743,2.78931003277328e-25,1.82937415038331e-22
"28","LLGL2",852.060795650433,-1.10018290070616,0.107130819663614,-10.2695275193514,9.66769728613025e-25,6.11412798367123e-22
"29","TNC",8462.75816198543,-1.18590336690091,0.117566609722289,-10.0870763365738,6.30185330740142e-24,3.84302168475718e-21
"30","SPATS2",1823.21503010418,1.29510549106099,0.128433311661101,10.0838752369666,6.51065340765278e-24,3.84302168475718e-21
"31","BTBD3",1284.3029833875,0.812289107316701,0.0811921794034919,10.0045239983023,1.45590146975472e-23,8.31648491174731e-21
"32","ACAT2",2929.51750903977,-1.17812310152978,0.117958365313838,-9.98761807520214,1.72681223237682e-23,9.55574719091524e-21
"33","NAMPT",14458.4698328823,1.3258269761336,0.132834123124311,9.98107221961966,1.84462540331427e-23,9.60724312996738e-21
"34","CREB5",384.755746464358,1.82924328324196,0.18324661229861,9.98241255484225,1.81987102498101e-23,9.60724312996738e-21
"35","RUNX2",2361.93090230022,1.2883692045673,0.129561497894363,9.94407463255603,2.67649939102789e-23,1.35415574903777e-20
"36","MVK",1216.81701023644,-1.17574816530513,0.118721915758619,-9.90337931958254,4.02441834334495e-23,1.97956666733201e-20
"37","NADK2",1723.30777780133,-1.22889304602536,0.124624754736342,-9.86074595392567,6.15901004400852e-23,2.9476689151163e-20
"38","CARMIL1",1203.02603137346,-1.87067689103641,0.191597767309833,-9.76356310045794,1.61383403892066e-22,7.52046662137027e-20
"39","HIPK2",6091.35697410274,1.22753299140991,0.126282403016885,9.72053874557474,2.46473930857053e-22,1.11911804297864e-19
"40","ZNF483",139.481381297066,2.16769872088897,0.224096485385714,9.67305987489243,3.92464724587368e-22,1.73744133574828e-19
"41","HS6ST1",688.959550915252,-1.34373412278195,0.138965278489391,-9.66956737243206,4.06091103522515e-22,1.75391738077481e-19
"42","RASA1",5140.11151787732,1.57777114309649,0.163339211439975,9.65947569592805,4.48151660170865e-22,1.88949276150135e-19
"43","NLRP1",2620.46316761519,1.56212351540247,0.162294241675492,9.62525533423389,6.25513784274077e-22,2.5759530446338e-19
"44","CRYL1",480.621430520847,1.45996867252134,0.151736870921627,9.62171332289711,6.4743627136869e-22,2.60563670304472e-19
"45","CYB5A",1344.03277998035,-1.14930865229899,0.119543671924306,-9.61413208912247,6.96946143593916e-22,2.74256051350246e-19
"46","RPSAP52",463.053714473902,2.35999318558389,0.246778226737903,9.56321478106084,1.14154518979483e-21,4.39445265671452e-19
"47","SMAD3",8431.34314284043,1.05673359707284,0.110814587187108,9.53605138002785,1.48374384813427e-21,5.59024171548119e-19
"48","MTHFD2",1459.90882682896,1.18894813774101,0.125479380842052,9.47524708651223,2.66130110914472e-21,9.81798334181971e-19
"49","CENPJ",1343.25974739757,1.062683851169,0.112345112796073,9.45910173322774,3.10599877473421e-21,1.12246992455089e-18
"50","CHAC1",237.304450336964,2.02806496234389,0.214619498400834,9.44958392622921,3.40180200790189e-21,1.20478219911853e-18
"51","RBM45",326.608252184355,-1.93946641834626,0.205922981395896,-9.41840684900315,4.57983994828668e-21,1.59019227067177e-18
"52","RPP40",395.36136187621,-1.17377737552418,0.124662685210526,-9.41562724677351,4.70266077757783e-21,1.60143686633362e-18
"53","PDCL3",765.211012221401,-1.11859487380488,0.119319565371883,-9.37478166567699,6.93190874673883e-21,2.31604226579719e-18
"54","PYCR1",2920.5488972471,1.4748052438902,0.157639212439413,9.35557353445307,8.31473696094685e-21,2.72661781674902e-18
"55","WNT2B",262.617933768781,2.1057370041734,0.227493935324563,9.25623358341034,2.11770725122051e-20,6.81824727356597e-18
"56","ZNF33B",606.167966510695,-1.43535534986734,0.155288901560526,-9.24312900305943,2.39392106892927e-20,7.56992040867847e-18
"57","ABCC5",1743.64625850689,-1.00195458772944,0.108561541925991,-9.22936953504673,2.72229479374819e-20,8.4572624925777e-18
"58","MARS1",5809.01795587518,0.893120413999068,0.0968392894240574,9.22270722256244,2.89691976213965e-20,8.84459571516705e-18
"59","MAP3K20",3420.81006186666,1.04912065510894,0.113934405807701,9.20811099747736,3.31914368354091e-20,9.96193158443092e-18
"60","SEMA3C",6992.9113062882,-0.734721515492443,0.0799247413500659,-9.19266678980422,3.83220625676515e-20,1.1124706294229e-17
"61","OSBPL6",676.066294754583,1.62052612094131,0.176284489395417,9.19267558081282,3.83189299529959e-20,1.1124706294229e-17
"62","CRAT",2123.56908905094,0.999132853723283,0.108859704971649,9.17816977350341,4.38480316442267e-20,1.25235636186446e-17
"63","TFRC",14209.8174597479,-0.925931047065765,0.10108176879479,-9.1602180898272,5.17925388530236e-20,1.45578139366562e-17
"64","MIR1915HG",346.497269775385,-2.71976088232196,0.297199989197632,-9.15128190167387,5.62619024368279e-20,1.55669651304898e-17
"65","MAP2",323.119905374162,-2.19694369021123,0.241237484708039,-9.10697478408099,8.47110731558498e-20,2.30779028222121e-17
"66","SEC11C",559.346561676475,-1.28054516507546,0.140683856257789,-9.10228933964528,8.84474392801622e-20,2.37307159814108e-17
"67","XPOT",7970.7800552369,1.00818089301515,0.111016699741973,9.0813444766272,1.07241832004121e-19,2.83438561362535e-17
"68","COL8A1",5834.40919371222,1.18405352875902,0.130408133945866,9.07959874075447,1.08975855653415e-19,2.83785948810393e-17
"69","E2F7",6772.72608011087,0.593931977711535,0.0654697812031363,9.07184913095575,1.17014045700013e-19,3.00302133515338e-17
"70","CCN3",816.231731714718,-1.96961416283198,0.218786900480575,-9.00243185723474,2.20772215165149e-19,5.58490626592064e-17
"71","SLC38A7",899.973471190556,-0.734207077008792,0.0816825941354024,-8.98853770231297,2.50541528274394e-19,6.24871744039855e-17
"72","WNK4",182.042951911586,3.47758318096141,0.387038517338878,8.98510878160622,2.58478477351971e-19,6.35713455131763e-17
"73","ADGRG6",3105.34032890474,0.943559962269585,0.105849437444579,8.91417077926006,4.91480271331854e-19,1.19220995133486e-16
"74","PPFIBP1",3103.81780529578,1.13309798808291,0.127333349498856,8.89867416935491,5.65177452001132e-19,1.35245436757244e-16
"75","ADAMTSL1",2025.04638130009,0.852449548050363,0.0959033791092031,8.88862890930774,6.18675795415152e-19,1.4607347980282e-16
"76","RRP36",3331.69648617096,-0.752033709772568,0.0849085425520281,-8.85698525930717,8.22074001915498e-19,1.91543242446311e-16
"77","IL1RAP",935.164323270462,1.37523898348536,0.155799297089347,8.82699093755667,1.07529510272121e-18,2.4728994388295e-16
"78","SAMD4A",4237.98652089888,1.03019095174292,0.11707255515486,8.79959398152888,1.37312037143226e-18,3.11733532529776e-16
"79","DHCR7",4307.47139175635,-1.05484797175489,0.119930486182829,-8.79549483478973,1.42418943176147e-18,3.19234765286483e-16
"80","SPOCD1",472.07113903068,1.09764743687698,0.124931028062013,8.78602740971705,1.54941812197544e-18,3.38729581530138e-16
"81","MCOLN1",1028.67263460951,-1.11942823954196,0.127406901269611,-8.7862449238373,1.54642249188264e-18,3.38729581530138e-16
"82","NAMPTP1",1017.42859804094,1.50962438106523,0.172209353215727,8.76621596257969,1.84771439567246e-18,3.99016177055707e-16
"83","DCAKD",757.994107929248,0.875006137457776,0.0998709270950779,8.76136992925642,1.92891653504893e-18,4.11533180754777e-16
"84","DNAJA1",13635.3783210035,-0.546898105152759,0.0625451086870002,-8.74405875429281,2.24882416761694e-18,4.74073551906676e-16
"85","SLC4A2",6084.12228128451,-1.08904012673174,0.12483181741766,-8.72405889187728,2.68403401629058e-18,5.59163227770278e-16
"86","ZBTB37",725.857103944383,0.905597115980889,0.104064582715609,8.70226058039107,3.25337490641348e-18,6.68590874149847e-16
"87","DUBR",526.956554879212,-1.90535605092415,0.21897700434333,-8.70116958919015,3.28480946753087e-18,6.68590874149847e-16
"88","GPR68",1333.74926389728,1.13699916439228,0.13081520285068,8.69164393446012,3.57232182027537e-18,7.18848577198139e-16
"89","IL15RA",1039.94398962644,1.06410300603936,0.122560375814298,8.68227597189874,3.87926774908052e-18,7.71843520232785e-16
"90","SYNPO",876.175483734148,-1.50119048970405,0.172979573758147,-8.67842634300251,4.01282294895938e-18,7.89545208668585e-16
"91","TXNIP",29396.3504701439,2.77855756624644,0.320244366608507,8.67636672479919,4.08613087814554e-18,7.95134127364849e-16
"92","SSH1",8443.3590091543,1.10962734106975,0.128393961159627,8.64236394802236,5.50617032196233e-18,1.05981808762292e-15
"93","ZNF326",1272.31425002949,-0.965263222577884,0.11209204647509,-8.6113444524576,7.22086670966524e-18,1.37491513650271e-15
"94","KCNJ5-AS1",309.513485148073,-1.69724645773659,0.197417492845061,-8.59724451606041,8.16528930601364e-18,1.53820152160521e-15
"95","SDC2",1340.20453859503,-1.48545791357363,0.173630201867134,-8.55529681817879,1.17565831167926e-17,2.16859972741837e-15
