...1,gene_name,baseMean.MDA24h10w_24h,log2FoldChange.MDA24h10w_24h,lfcSE.MDA24h10w_24h,stat.MDA24h10w_24h,pvalue.MDA24h10w_24h,padj.MDA24h10w_24h,baseMean.MDA24h10w_10w,log2FoldChange.MDA24h10w_10w,lfcSE.MDA24h10w_10w,stat.MDA24h10w_10w,pvalue.MDA24h10w_10w,padj.MDA24h10w_10w
40,ABCB8,1565.42990605478,-0.692260749627176,0.137113172668178,-5.04882744783749,4.44530015468869e-7,6.40834737747711e-6,1565.42990605478,-0.675554362126686,0.158768214472918,-4.25497234675976,2.09074853024639e-5,1.415672882896e-4
48,ABCC5,1743.64625850689,-1.00195458772944,0.108561541925991,-9.22936953504673,2.72229479374819e-20,8.4572624925777e-18,1743.64625850689,-0.604946192909864,0.12441268116848,-4.86241585044407,1.15961681787562e-6,1.05190491505291e-5
64,ABHD12,2985.60062986696,-0.417942429771992,0.085782347621827,-4.87212627491263,1.10403564384913e-6,1.40953591790054e-5,2985.60062986696,-0.275917567546717,0.0996359402848359,-2.76925742616502,0.00561842241081969,0.0190393329908855
66,ABHD13,538.910857203067,-0.379610748362939,0.127116663569515,-2.98631774704616,0.00282359089018825,0.0119662032929137,538.910857203067,-0.368923746385668,0.153811702462974,-2.39854146646922,0.0164605126429806,0.0476473288431345
79,ABHD6,575.247917854996,-0.507274094491368,0.118068756863312,-4.29642953790594,1.73571105150181e-5,1.5642514023773e-4,575.247917854996,-0.424717836959223,0.137113450945756,-3.09756507497755,0.00195117552330061,0.00765835335462407
110,ACADSB,573.355676209558,-0.792828596217221,0.136972677670722,-5.7882244086894,7.113433777490911e-9,1.80412564682777e-7,573.355676209558,-1.37402901842729,0.167220770756616,-8.21685614897172,2.0890740525369003e-16,9.40914795901322e-15
116,ACAT2,2929.51750903977,-1.17812310152978,0.117958365313838,-9.98761807520214,1.72681223237682e-23,9.55574719091524e-21,2929.51750903977,-0.589952674462967,0.136590854838363,-4.31912279311158,1.56650608298714e-5,1.0892150206822e-4
129,ACKR3,137.216066483488,-1.27367770631112,0.298410215715905,-4.26821080255407,1.9704707428683e-5,1.7534219052619e-4,137.216066483488,-1.36909536553933,0.362315485673009,-3.77873819827549,1.576250325849e-4,8.5218239473939e-4
163,ACSL3,3996.27830289947,-0.755705794610079,0.0947691213161344,-7.97417749700525,1.5339894914851101e-15,1.82307959162539e-13,3996.27830289947,-0.339036726991106,0.110653665153665,-3.06394484557094,0.00218439177906044,0.00845098238283512
168,ACSS1,562.101988722987,-0.732028384092064,0.131065975388961,-5.58519006873937,2.33444758998678e-8,5.18025036635161e-7,562.101988722987,-0.595438452276452,0.162332882047904,-3.66800887635777,2.4444669974716e-4,0.00125310077735621
253,ADAMTSL2,58.3154998101312,-1.71242613583161,0.410912452727533,-4.16737464261537,3.08127859913169e-5,2.5908490709128e-4,58.3154998101312,-2.52882848952375,0.637268483785621,-3.96823090089366,7.24081596242953e-5,4.2746075583876e-4
276,ADD3,2997.2722040584,-0.487691830232712,0.130262629457024,-3.74391206645809,1.8117708252109e-4,0.00118781331998651,2997.2722040584,-0.668555952845283,0.151501163851353,-4.41287667929233,1.02006105749591e-5,7.42630699920424e-5
337,ADSS2,3198.29274802281,-0.749211653423018,0.104373681334487,-7.17816640980608,7.06525337041137e-13,4.811981026278639e-11,3198.29274802281,-0.595948296043232,0.120882398152678,-4.92998406013199,8.22363264188429e-7,7.71887468190549e-6
375,AGFG2,2163.87428582573,-1.42988637997386,0.209492458096872,-6.82547903138672,8.76324014760007e-12,4.83425098235832e-10,2163.87428582573,-1.64412177417582,0.243661054565605,-6.74757719122137,1.50334263123495e-11,3.31541067979781e-10
378,AGL,1150.38952735992,-0.480104084993069,0.132643705981429,-3.61950144140488,2.9517116699025e-4,0.00180611300105855,1150.38952735992,-0.770494055627667,0.156388975902903,-4.92677985247528,8.35958503125085e-7,7.83024555487987e-6
388,AGPS,3095.94933643435,-0.361970239894234,0.0813256814671821,-4.45087250870812,8.55221054872379e-6,8.47942577809635e-5,3095.94933643435,-0.217684178633097,0.0953873365011832,-2.28210773691534,0.0224829803344023,0.0618076520044415
