...1,gene_name,baseMean.MDA24h10w_24h,log2FoldChange.MDA24h10w_24h,lfcSE.MDA24h10w_24h,stat.MDA24h10w_24h,pvalue.MDA24h10w_24h,padj.MDA24h10w_24h,baseMean.MDA24h10w_10w,log2FoldChange.MDA24h10w_10w,lfcSE.MDA24h10w_10w,stat.MDA24h10w_10w,pvalue.MDA24h10w_10w,padj.MDA24h10w_10w
66,ABHD13,538.910857203067,-0.379610748362939,0.127116663569515,-2.98631774704616,0.00282359089018825,0.0119662032929137,538.910857203067,-0.368923746385668,0.153811702462974,-2.39854146646922,0.0164605126429806,0.0476473288431345
79,ABHD6,575.247917854996,-0.507274094491368,0.118068756863312,-4.29642953790594,1.73571105150181e-5,1.5642514023773e-4,575.247917854996,-0.424717836959223,0.137113450945756,-3.09756507497755,0.00195117552330061,0.00765835335462407
110,ACADSB,573.355676209558,-0.792828596217221,0.136972677670722,-5.7882244086894,7.113433777490911e-9,1.80412564682777e-7,573.355676209558,-1.37402901842729,0.167220770756616,-8.21685614897172,2.0890740525369003e-16,9.40914795901322e-15
276,ADD3,2997.2722040584,-0.487691830232712,0.130262629457024,-3.74391206645809,1.8117708252109e-4,0.00118781331998651,2997.2722040584,-0.668555952845283,0.151501163851353,-4.41287667929233,1.02006105749591e-5,7.42630699920424e-5
337,ADSS2,3198.29274802281,-0.749211653423018,0.104373681334487,-7.17816640980608,7.06525337041137e-13,4.811981026278639e-11,3198.29274802281,-0.595948296043232,0.120882398152678,-4.92998406013199,8.22363264188429e-7,7.71887468190549e-6
378,AGL,1150.38952735992,-0.480104084993069,0.132643705981429,-3.61950144140488,2.9517116699025e-4,0.00180611300105855,1150.38952735992,-0.770494055627667,0.156388975902903,-4.92677985247528,8.35958503125085e-7,7.83024555487987e-6
388,AGPS,3095.94933643435,-0.361970239894234,0.0813256814671821,-4.45087250870812,8.55221054872379e-6,8.47942577809635e-5,3095.94933643435,-0.217684178633097,0.0953873365011832,-2.28210773691534,0.0224829803344023,0.0618076520044415
434,AKAP11,2566.04800110049,-0.188256683051633,0.0850586474694714,-2.21325742475744,0.0268799030796906,0.0752552290490374,2566.04800110049,-0.309997829825637,0.0996491331851048,-3.1108933908115,0.00186522265818829,0.00737373830767623
459,AKR1C3,6237.84626040335,-1.06346255556944,0.209969048790604,-5.06485389963355,4.08713685009663e-7,5.96169846305693e-6,6237.84626040335,-1.13057430882165,0.243352160219562,-4.64583633776496,3.38701450436028e-6,2.76364509310262e-5
505,ALG12,398.354236623737,-0.571200099416819,0.15558895974759,-3.67121227845131,2.4140273225424e-4,0.00151802542001353,398.354236623737,-0.454149161280028,0.179175801220377,-2.53465679063128,0.0112557543684741,0.0346298536271186
587,ANGEL2,1262.09264069869,-0.321614346373069,0.10321944511652,-3.11583099492554,0.0018342736515986,0.00836716069616383,1262.09264069869,-0.68314740609197,0.121575436601121,-5.61912360909977,1.9192851099682e-8,2.51269531461202e-7
710,ANXA9,158.098125895052,-0.68047061916639,0.320187339953153,-2.12522649791822,0.0335677180119409,0.0896962653622226,158.098125895052,-1.02090237532078,0.374473153119404,-2.726236492033,0.00640610807742437,0.021298015580214
747,AP5M1,1873.3048662628,-0.56764014500397,0.0853308696758567,-6.65222500556064,2.8869489087423296e-11,1.3602166468088e-9,1873.3048662628,-0.955016861519175,0.100740480427731,-9.47997128328449,2.54353060869888e-21,2.17231911325952e-19
767,API5,4008.61914005005,-0.248129082221261,0.0607670613379395,-4.08328256720132,4.44039757272804e-5,3.5483104791456e-4,4008.61914005005,-0.227138371920063,0.0711108659203653,-3.19414436851926,0.00140245962861165,0.0057790018287762
921,ARL13B,884.02779539582,-0.546825511772553,0.103483596941773,-5.28417573347624,1.26271995633906e-7,2.16249951516945e-6,884.02779539582,-0.411349780582614,0.119861134031437,-3.43188627328292,5.9939885779183e-4,0.00275589530705408
966,ARMT1,1237.12717411874,-0.317852214169018,0.0979416342544996,-3.24532275358082,0.0011731757274855,0.00572302914113314,1237.12717411874,-0.427452180143583,0.116170825134215,-3.67951402298932,2.3367884028383e-4,0.0012057535144426
1130,ATP2C1,4839.39334130692,-0.25786546753936,0.083679940398473,-3.08156848955004,0.00205913099827578,0.00920552681582114,4839.39334130692,-0.289348042643171,0.0973033636962635,-2.97366947710444,0.00294261855368054,0.0109672810895306
1172,ATP6V0E2,1320.80524621623,-0.92159165735631,0.184286300404253,-5.00086905719357,5.7072466168323e-7,7.9079752027282e-6,1320.80524621623,-0.462322708835957,0.211482356190854,-2.18610534307992,0.0288078991839125,0.0757900460467034
1477,BMPR1A,930.229502740688,-0.298092470401127,0.104152019962776,-2.86209014964534,0.0042085718178921,0.0166888324672821,930.229502740688,-0.400259500865515,0.126699163131269,-3.15913294905365,0.00158239286479816,0.00639384182326164
1524,BRCC3,1583.36560450199,-0.546828929165148,0.10531292996008,-5.19241967128282,2.07578441147455e-7,3.34467610176445e-6,1583.36560450199,-1.11887287720784,0.123761070948856,-9.04058819651144,1.55831025717648e-19,1.08102549871408e-17
1538,BRI3BP,731.870957978088,-0.465264713214594,0.131710297549931,-3.53248547660607,4.1167283789727e-4,0.00239484317131571,731.870957978088,-0.605434071891354,0.151727471602092,-3.99027325439861,6.59972162762172e-5,3.925576865628e-4
1576,BTD,2084.21613444901,-0.365586766323461,0.122025108931486,-2.99599622999499,0.002735498156864,0.0116835989777491,2084.21613444901,-1.20179850300113,0.143177506409819,-8.39376612385756,4.7081224686419803e-17,2.36792403936755e-15
1700,C1orf53,72.4993205690542,-1.34782253217243,0.247793258416647,-5.43930267023714,5.34895170176119e-8,1.03067722235895e-6,72.4993205690542,-0.88454335493847,0.28034376398149,-3.15520966964284,0.00160382801758285,0.00647178740502678
1731,C2CD5,1463.94731313166,-0.323477260811531,0.0871637596951739,-3.71114396559745,2.0632471288752e-4,0.00132424719674241,1463.94731313166,-0.53779612667708,0.100467029572622,-5.35296135423547,8.65263341250277e-8,9.96594023961673e-7
