...1,gene_name,baseMean.MDA24h10w_24h,log2FoldChange.MDA24h10w_24h,lfcSE.MDA24h10w_24h,stat.MDA24h10w_24h,pvalue.MDA24h10w_24h,padj.MDA24h10w_24h,baseMean.MDA24h10w_10w,log2FoldChange.MDA24h10w_10w,lfcSE.MDA24h10w_10w,stat.MDA24h10w_10w,pvalue.MDA24h10w_10w,padj.MDA24h10w_10w
32,ABCA2,2738.50800980859,0.309276648995137,0.133168856248507,2.32243977839679,0.0202092675561731,0.0597837804685456,2738.50800980859,1.26649390141459,0.155253235691349,8.15760068236156,3.4174516635852e-16,1.49821742907685e-14
82,ABI2,2671.50768615217,0.620276415066893,0.097995579763772,6.32963666894089,2.4573915003571e-10,9.378338079380081e-9,2671.50768615217,0.760823093231372,0.114984850230443,6.61672465291376,3.6724460776997594e-11,7.59056035192145e-10
574,ANAPC1,1400.14680253225,0.770588933800416,0.115554985300884,6.66859098976947,2.5827090998623498e-11,1.25300308877706e-9,1400.14680253225,0.398486023331286,0.135858532626827,2.9330952986651,0.00335600863004127,0.0122730543840693
609,ANKIB1,4932.76943022802,0.234772353478489,0.0823064072106455,2.85241892381039,0.00433878789074348,0.0171345352295463,4932.76943022802,0.26046998042917,0.096231224632361,2.70670960932132,0.00679536689810569,0.0224192625832911
640,ANKRD27,2797.5338289212,0.421095493351088,0.0990202461471921,4.25262014320926,2.11283796383954e-5,1.8669727876083e-4,2797.5338289212,0.668936227449446,0.114491495921682,5.84267173788204,5.137018246763441e-9,7.42305286320022e-8
689,ANPEP,6.51626772291556,3.03913396098475,1.19135014658351,2.5509997792842,0.0107414393838346,0.0359946701467936,6.51626772291556,4.75184086076634,1.68125162138118,2.82637102045595,0.00470786992634258,0.0163766941184167
923,ARL14EP,999.174885903798,0.304559680151797,0.129177275755815,2.35768774631468,0.0183891538037237,0.0552866972216058,999.174885903798,0.320655294710316,0.149547937290318,2.14416394181236,0.0320197531502219,0.0826914349647579
1011,ASB1,2364.20976755395,0.93502976509037,0.123909062096906,7.54609670404178,4.4849707938671904e-14,3.85823668919239e-12,2364.20976755395,0.900296553343824,0.142475235544135,6.31896869589617,2.63314603966539e-10,4.7344331871083905e-9
1112,ATP13A3,8041.27562496291,0.2284943125342,0.103884707884072,2.19949901374497,0.0278424591876185,0.0774602148145088,8041.27562496291,0.470568876807934,0.120630587661547,3.90090843400522,9.58323959287229e-5,5.4926918666839e-4
1321,BAZ1A,2631.45167442513,0.398404803285543,0.125213186074481,3.18181188240477,0.00146356847598698,0.00691116548607401,2631.45167442513,0.659690696374393,0.144117545255582,4.57744888177551,4.70680756401239e-6,3.72086086883692e-5
