...1,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2,BAG1,917.939217413917,-0.949901491180218,0.0587379071326039,-16.1718647727057,7.96505019945233e-59,6.812033893165659e-55
4,EMC10,1348.32988168787,-0.898985937272588,0.0600521666968623,-14.9700832912588,1.15176914999386e-50,5.89043537535611e-47
5,PKM,36580.7426731461,-0.62943310758654,0.0427546664199274,-14.7219744718478,4.658571890164749e-49,1.82726230805656e-45
6,TTYH3,1695.12078498974,-0.774483426566964,0.0526411973852102,-14.7124963913636,5.35932631780777e-49,1.82726230805656e-45
16,SPATS2L,945.128624136202,-1.07375086212329,0.0836018036253382,-12.8436327394957,9.33872887445144e-38,1.19401485365408e-34
24,SLC4A2,2126.80918557525,-0.883916399765425,0.0749710171522977,-11.7901081423214,4.38977003827097e-32,3.74173023637122e-29
29,PTGES,1138.24608438668,-1.1320022607001201,0.0974352025557405,-11.6180007944513,3.3385729233589397e-31,2.3550753894191e-28
30,L3MBTL3,418.77945111693,-1.09605463904941,0.0950649904829389,-11.5295297825346,9.36538284923839e-31,6.38625456489566e-28
31,PRKAR1B,449.099336916563,-1.00505226843166,0.0874457425203538,-11.4934385536006,1.42331455557929e-30,9.3924986656405e-28
44,PIK3C2B,461.61188166791,-0.975013018468394,0.0887477885607525,-10.986335933328,4.44611313818332e-28,2.06713946517764e-25
56,TLN2,264.799191526979,-0.912238561133835,0.0887420929865295,-10.2796601976957,8.70339051928426e-25,3.17937964023211e-22
63,RHOD,738.437468447173,-0.712918180934119,0.070492916009111,-10.1133308323063,4.82165504697844e-24,1.56566027454028e-21
64,PFKFB4,299.256167627085,-1.0608352162589,0.105052825513067,-10.0981121743075,5.6315829176903e-24,1.80008268354985e-21
71,ANO1,402.813368480904,-2.29380166496188,0.230369841944553,-9.9570397131842,2.3495459511687798e-23,6.7696706370506604e-21
81,LASP1,3449.13607215856,-0.494089821886299,0.0503282496964572,-9.81734562330865,9.48070027953974e-23,2.39440352615487e-20
85,MAGI1,326.879100099248,-0.581814871428761,0.0600840706197543,-9.68334644153542,3.5490490785002398e-22,8.54151729398582e-20
88,TEX261,1346.76551903689,-0.579453710955154,0.0600176373230763,-9.65472379120727,4.69422565771209e-22,1.09124743499791e-19
91,CPVL,363.04367886506,-1.04863528547858,0.109136658147165,-9.60846065182385,7.36416569448488e-22,1.6554806330997499e-19
95,AGFG2,740.765920903588,-1.03745165089295,0.109362940346273,-9.4863181952506,2.3933864066889703e-21,5.153842707540659e-19
96,RNF20,852.881482974806,-0.40492016830044,0.0427223823267736,-9.4779398115793,2.59352807106896e-21,5.526646223943509e-19
97,C15orf39,501.228373521496,-0.643402241143077,0.0680253688835832,-9.45826905024474,3.1308282434948902e-21,6.602819935791239e-19
98,ALDH1A1,32.5158977993861,-3.59990189498512,0.381936592530446,-9.42539145342078,4.28504189471619e-21,8.944806330633579e-19
102,ADAM10,2975.25476651775,-0.323544255447626,0.0344701148036986,-9.38622506162671,6.21892307115156e-21,1.24725989477007e-18
105,MBNL3,448.715732851094,-1.03398339721,0.11057973161361,-9.35056888022638,8.717755945764599e-21,1.69846793697625e-18
107,IDH1,1808.65404997169,-0.527835560346924,0.0565280019766519,-9.33759449988944,9.85475340876667e-21,1.88409991105738e-18
111,BCL9,473.219414116199,-0.504340615410627,0.0549764297472254,-9.17376078675026,4.56798025350774e-20,8.41866414828899e-18
113,PTTG1IP,2848.81004762839,-0.354851961170091,0.0388249744189592,-9.13978609080055,6.257598198821379e-20,1.13284678188751e-17
118,PCYOX1,1855.61157960411,-0.344953099776131,0.0380292814254475,-9.07072358052244,1.18229233616089e-19,2.04967409498673e-17
121,CTSD,1298.49914261702,-0.760685422901287,0.0841018411464133,-9.04481296166877,1.4992160870358198e-19,2.53466640433816e-17
129,SAMD9,1668.35780017817,-1.45861771381818,0.163000865041788,-8.94852744152151,3.6025589719511395e-19,5.71298828598484e-17
150,C2CD3,944.890498055769,-0.510251344162685,0.0589801638783671,-8.65123646002341,5.09444215471191e-18,6.94780021059611e-16
151,TSPAN14,934.207334205971,-0.666200340942803,0.0771148229041556,-8.63906984226378,5.66725241545569e-18,7.67781342138921e-16
154,AUTS2,87.456760100873,-2.66021616954206,0.308684871301197,-8.6179026472158,6.81916192919392e-18,9.05841529776105e-16
156,PHLDB1,1248.38818598816,-0.637258604663137,0.0739765917842404,-8.61432771222768,7.03531912817964e-18,9.22573867981864e-16
161,AGPAT2,924.579538080458,-0.72927284624913,0.0848806990184858,-8.59173940226747,8.56625014078296e-18,1.0884458331055702e-15
179,SLC44A1,1670.57833862127,-0.371413701538018,0.0440058697453853,-8.44009455299919,3.17081060700006e-17,3.6237582451061506e-15
183,SPTBN1,3660.55213565899,-0.382627748779245,0.0454819907130884,-8.41273090250063,4.00573236796449e-17,4.4778834454344e-15
190,ANKMY2,336.544542180806,-0.592681399758964,0.0706494091579501,-8.38904963003884,4.9008778976004204e-17,5.2766978500637805e-15
202,SGPL1,1044.8353972668,-0.389513455985587,0.046798499566844,-8.32320394010133,8.561695087661231e-17,8.6706235845686e-15
208,TNIK,370.716834061269,-1.42938995084872,0.172138941092397,-8.30369898744459,1.00919130925672e-16,9.925493564165771e-15
244,PGAM1,966.36956676169,-0.505276527877212,0.0635536979545722,-7.95038753273461,1.8592896824144003e-15,1.5588315177520998e-13
249,VWA1,322.754194033013,-0.797251998980807,0.100496569964212,-7.9331264665522,2.1369661983124e-15,1.7556593381075e-13
252,APLP2,9631.13269912806,-0.341061888180691,0.0430391757682512,-7.9244521321034,2.29154402764304e-15,1.86024270529736e-13
280,RNF167,1277.1515821194,-0.39347511739622,0.050654130147023,-7.76787828068833,7.98116996458929e-15,5.83109978448583e-13
281,GTF3C6,500.588247539116,-0.399505208208374,0.0515396350112727,-7.75141710105232,9.08726620040222e-15,6.61559447194406e-13
284,CAMK2G,847.722844214417,-0.356543816675699,0.0461864062885146,-7.71967003556114,1.1663123689112101e-14,8.40114511648473e-13
289,SLC52A3,245.252192939828,-0.736625621560868,0.0955495073786763,-7.70936074679606,1.26449511583248e-14,8.931530976687309e-13
304,MB21D2,46.7940871439576,-1.26270819771688,0.16534364912168,-7.63687147601069,2.2256346913126102e-14,1.4976910815849299e-12
