...1,gene_name,baseMean.MDA24h10w_24h,log2FoldChange.MDA24h10w_24h,lfcSE.MDA24h10w_24h,stat.MDA24h10w_24h,pvalue.MDA24h10w_24h,padj.MDA24h10w_24h,baseMean.MDA24h10w_10w,log2FoldChange.MDA24h10w_10w,lfcSE.MDA24h10w_10w,stat.MDA24h10w_10w,pvalue.MDA24h10w_10w,padj.MDA24h10w_10w
40,ABCB8,1565.42990605478,-0.692260749627176,0.137113172668178,-5.04882744783749,4.44530015468869e-7,6.40834737747711e-6,1565.42990605478,-0.675554362126686,0.158768214472918,-4.25497234675976,2.09074853024639e-5,1.415672882896e-4
48,ABCC5,1743.64625850689,-1.00195458772944,0.108561541925991,-9.22936953504673,2.72229479374819e-20,8.4572624925777e-18,1743.64625850689,-0.604946192909864,0.12441268116848,-4.86241585044407,1.15961681787562e-6,1.05190491505291e-5
64,ABHD12,2985.60062986696,-0.417942429771992,0.085782347621827,-4.87212627491263,1.10403564384913e-6,1.40953591790054e-5,2985.60062986696,-0.275917567546717,0.0996359402848359,-2.76925742616502,0.00561842241081969,0.0190393329908855
79,ABHD6,575.247917854996,-0.507274094491368,0.118068756863312,-4.29642953790594,1.73571105150181e-5,1.5642514023773e-4,575.247917854996,-0.424717836959223,0.137113450945756,-3.09756507497755,0.00195117552330061,0.00765835335462407
137,ACOT11,21.9005460823266,-2.73586428597554,0.644172841667174,-4.2470966004945,2.16558603263689e-5,1.9078705206932e-4,21.9005460823266,-2.83120230605609,0.786234462521459,-3.60096439550158,3.1703899596791e-4,0.00157182586555178
163,ACSL3,3996.27830289947,-0.755705794610079,0.0947691213161344,-7.97417749700525,1.5339894914851101e-15,1.82307959162539e-13,3996.27830289947,-0.339036726991106,0.110653665153665,-3.06394484557094,0.00218439177906044,0.00845098238283512
168,ACSS1,562.101988722987,-0.732028384092064,0.131065975388961,-5.58519006873937,2.33444758998678e-8,5.18025036635161e-7,562.101988722987,-0.595438452276452,0.162332882047904,-3.66800887635777,2.4444669974716e-4,0.00125310077735621
274,ADD1,8390.70247799937,-0.168357971350176,0.0528766563278875,-3.18397536913436,0.00145267372690554,0.00686887753165374,8390.70247799937,-0.292426515485685,0.061750993448934,-4.73557588555255,2.18433952265652e-6,1.85941003277945e-5
375,AGFG2,2163.87428582573,-1.42988637997386,0.209492458096872,-6.82547903138672,8.76324014760007e-12,4.83425098235832e-10,2163.87428582573,-1.64412177417582,0.243661054565605,-6.74757719122137,1.50334263123495e-11,3.31541067979781e-10
474,ALAD,1377.12941154854,-0.749716239655651,0.143747439726789,-5.21551021069026,1.83311961437229e-7,3.01121355577965e-6,1377.12941154854,-0.903068853277967,0.167160589860482,-5.40240288713806,6.5754057723867e-8,7.73598712637205e-7
478,ALDH16A1,1064.50053834037,-0.426006276093724,0.12127929282451,-3.51260521208803,4.4373627788095e-4,0.00255534374267185,1064.50053834037,-0.395122636224317,0.136954560362323,-2.88506374069613,0.00391334420531072,0.0139753471758099
505,ALG12,398.354236623737,-0.571200099416819,0.15558895974759,-3.67121227845131,2.4140273225424e-4,0.00151802542001353,398.354236623737,-0.454149161280028,0.179175801220377,-2.53465679063128,0.0112557543684741,0.0346298536271186
710,ANXA9,158.098125895052,-0.68047061916639,0.320187339953153,-2.12522649791822,0.0335677180119409,0.0896962653622226,158.098125895052,-1.02090237532078,0.374473153119404,-2.726236492033,0.00640610807742437,0.021298015580214
733,AP2M1,12869.0691208169,-0.271572780235526,0.0669035951653289,-4.05916572292458,4.92483536489794e-5,3.8845872891587e-4,12869.0691208169,-0.269816561767946,0.0771903618503429,-3.49546958065916,4.7322839091079e-4,0.00224241644748256
803,AQP1,249.802086351249,-0.829441253236998,0.20317097035147,-4.0824791642336,4.45578079709453e-5,3.5573925317831e-4,249.802086351249,-2.31986930782318,0.32479110122289,-7.14265045775115,9.15482198897752e-13,2.4520296883495097e-11
893,ARHGEF37,95.670967149517793,-0.963713146699759,0.304128524636391,-3.1687693479326,0.00153085829539719,0.00717344236435392,95.670967149517793,-0.963425607033445,0.365645351512434,-2.63486354482119,0.00841711134665331,0.0269734899190274
