...1,gene_name,baseMean.FaDu,log2FoldChange.FaDu,lfcSE.FaDu,stat.FaDu,pvalue.FaDu,padj.FaDu,baseMean.HCT116,log2FoldChange.HCT116,lfcSE.HCT116,stat.HCT116,pvalue.HCT116,padj.HCT116,baseMean.SiHa,log2FoldChange.SiHa,lfcSE.SiHa,stat.SiHa,pvalue.SiHa,padj.SiHa
36,ABCA2,2324.70459607154,0.647080792886932,0.106676538580427,6.06582104648131,1.3128124267601602e-9,2.03080021245559e-8,2324.70459607154,0.40322133246757,0.104073615482562,3.8743857470305,1.0689397864855e-4,6.8193313862997e-4,2324.70459607154,0.224677698354581,0.107315053240523,2.09362705016802,0.0362932159647907,0.090753858200293
182,ACSS2,927.742296511563,1.08425219275544,0.101183554497477,10.7156958276502,8.590879959298689e-27,1.03748206184331e-24,927.742296511563,0.96104881745116,0.0987069295252649,9.73638651382799,2.10921396095601e-22,1.63920936010168e-20,927.742296511563,0.564788392411714,0.0977509942671842,5.77782759802902,7.56712861827957e-9,8.6506038522605e-8
1002,ASB1,763.474797759461,0.24919909259522,0.08408659208266,2.9636008122466,0.00304062445834817,0.0114258315214882,763.474797759461,0.304794597843669,0.0823539134346471,3.70103356515707,2.1472306776391e-4,0.00126864389313512,763.474797759461,0.618197607705307,0.0839656259696313,7.36250817601118,1.80486368588013e-13,3.83597084787763e-12
1101,ATP11C,873.344861620851,0.251407844518795,0.0927987117330617,2.70917386484823,0.0067450982770085,0.0227151597752256,873.344861620851,0.210043036297178,0.0853406155389416,2.46123179415473,0.0138460878685151,0.0452407664211092,873.344861620851,0.443524784389465,0.0798810291524835,5.55231685288916,2.81908011488999e-8,2.934078456728e-7
1105,ATP13A3,4240.43579869503,0.676192032658756,0.0645366485320279,10.4776440679776,1.0943593760006798e-25,1.19026875982285e-23,4240.43579869503,0.243470193825019,0.0641094278324001,3.79772838499695,1.4602820999915e-4,9.004682040295e-4,4240.43579869503,0.17986824593764,0.0648868055695323,2.77203114498978,0.00557077062325922,0.0186934326576251
1546,BTAF1,2803.65495496722,0.550059988249414,0.061200398975616,8.98784971105456,2.5211447332949496e-19,1.39267398816176e-17,2803.65495496722,0.931137315222837,0.0624058337747216,14.9206774255135,2.41805963156493e-50,9.77527159167603e-48,2803.65495496722,0.548782366959492,0.0640737959682937,8.56484868215162,1.08217868249701e-17,3.59206416489743e-16
1573,BTN3A2,484.007857870176,0.30849590141777,0.100121927182398,3.08120219116202,0.00206166598691641,0.00819378871922227,484.007857870176,0.315363284098689,0.101140648183559,3.11806667015165,0.00182041618729845,0.00815322191586117,484.007857870176,0.668179621736293,0.108400491700917,6.16399069092637,7.09341148738792e-10,9.43399682359925e-9
1759,C5orf22,1123.42652301206,0.211000241116814,0.0724950688431655,2.91054611691298,0.00360797717350188,0.0132618153411401,1123.42652301206,0.267518942530227,0.0777513081620548,3.44070021269153,5.802109979961e-4,0.00302327098738685,1123.42652301206,0.193572118444311,0.0670725825794107,2.88600961823903,0.00390160233550561,0.0137856147362416
1911,CAPRIN2,1198.77354123332,0.933033957068655,0.167629372223054,5.56605292196122,2.60574135532382e-8,3.17751649533951e-7,1198.77354123332,1.55872794477221,0.168358900453238,9.25836377272583,2.0758883688096198e-20,1.27312310312043e-18,1198.77354123332,0.445495884670479,0.168789671134966,2.63935513159603,0.00830639160683119,0.0262266995253835
1983,CBFA2T2,1259.3652461877,0.338807523269692,0.0793682832466888,4.2688024663029,1.96525207004001e-5,1.3307629156407e-4,1259.3652461877,0.400026483756362,0.0918007333889617,4.35755215659815,1.31525162175728e-5,1.0428609079266e-4,1259.3652461877,0.524000109927737,0.0765049403806395,6.84923231520277,7.42473392106063e-12,1.30628704331342e-10
2175,CCNT1,1657.58944564539,0.38485498869921,0.07483776554246,5.14252377672686,2.71072122688006e-7,2.71708296530605e-6,1657.58944564539,0.181155323706212,0.0742258760420161,2.44059529325956,0.0146630768146941,0.0474658385387636,1657.58944564539,0.187902729932248,0.0756981754635648,2.48226233699238,0.0130551122789322,0.0384595491178575
2243,CD46,4347.11329988182,0.371187273555542,0.0824301359062449,4.50305303363477,6.69841597241333e-6,5.1127301142446e-5,4347.11329988182,0.521659294361324,0.0840487265023389,6.20662936929576,5.41330608048286e-10,9.766336797081671e-9,4347.11329988182,0.26559129951620303,0.0828079733403488,3.20731553741326,0.00133979952754343,0.00542048904300765
