...1,gene_name,baseMean.MDA24h10w_24h,log2FoldChange.MDA24h10w_24h,lfcSE.MDA24h10w_24h,stat.MDA24h10w_24h,pvalue.MDA24h10w_24h,padj.MDA24h10w_24h,baseMean.MDA24h10w_10w,log2FoldChange.MDA24h10w_10w,lfcSE.MDA24h10w_10w,stat.MDA24h10w_10w,pvalue.MDA24h10w_10w,padj.MDA24h10w_10w
12,AAMP,3752.52525127553,0.25103903118287,0.116306090862216,2.15843408820496,0.0308940978052645,0.0840357425400343,3752.52525127553,0.308971258162903,0.133883999090378,2.30775343029853,0.0210128544502779,0.0584242540965497
16,AARS1,5654.54821601361,0.914237994367374,0.129495474214405,7.05999958619154,1.6650310009209699e-12,1.05301317729673e-10,5654.54821601361,0.324503802882252,0.148990116942608,2.1780223382686,0.0294043737186615,0.0770805835456907
89,ABLIM3,2792.80962234124,0.459112999730151,0.0945392156081338,4.85632334451747,1.19585369176222e-6,1.50827472747331e-5,2792.80962234124,0.410161492354735,0.108334476765153,3.78606612227315,1.5305096485322e-4,8.3117599569058e-4
194,ACTN1,24852.4895954501,0.369231013250614,0.113909131009282,3.24145228726681,0.00118922339573892,0.00578855631988585,24852.4895954501,0.879945497525009,0.131577825652409,6.68764279362372,2.26793881910176e-11,4.848087397716231e-10
218,ACYP1,624.156817266659,0.684110701551255,0.129013257116958,5.3026387895243,1.14140627600317e-7,2.00119033024398e-6,624.156817266659,0.771516429890071,0.147874624974726,5.21736863252863,1.81482849605535e-7,1.98634706477467e-6
220,ADA,176.975843392667,0.84594809890746,0.212653614306621,3.97805652946817,6.94808550902782e-5,5.2103646451035e-4,176.975843392667,2.02084585435957,0.220837698720967,9.15081920371284,5.65034224740693e-20,4.10863842295381e-18
254,ADAMTSL4,997.715484573212,1.2385827568957,0.150357941123425,8.23756129966544,1.75756277485792e-16,2.6153715644692502e-14,997.715484573212,2.95875857759804,0.180151439715454,16.4237298479066,1.2936431644801698e-60,1.2327738492672699e-57
298,ADGRG6,3105.34032890474,0.943559962269585,0.105849437444579,8.91417077926006,4.91480271331854e-19,1.19220995133486e-16,3105.34032890474,0.741890591702381,0.124523848556621,5.95781932779764,2.55625890866273e-9,3.87635040203077e-8
323,ADORA2B,2547.30648348478,0.37287465324597,0.104302065797437,3.57494983819518,3.5029505055627e-4,0.00208364956508247,2547.30648348478,0.952605325468371,0.120523663242027,7.90388625638948,2.7033972933882402e-15,1.04813086496975e-13
341,AEN,1052.03906737193,0.47791490424266603,0.138280383898317,3.45612942898753,5.4799212353877e-4,0.00303719703399832,1052.03906737193,0.485093347965578,0.157842753244127,3.07326968134743,0.00211727054121634,0.00822999150263267
386,AGPAT3,4501.51498623396,0.254083701752284,0.0942917968388911,2.6946533025181,0.00704619046946804,0.0255161433197014,4501.51498623396,0.520447942445247,0.109660756656195,4.74598168310056,2.0749749004126e-6,1.78054481264789e-5
397,AHCYL1,7951.0679322338,0.423558253174247,0.10614722069416101,3.99029056440991,6.59923996482562e-5,4.9812165940806e-4,7951.0679322338,0.52523786776866,0.123014611357335,4.26971936075901,1.95719074909883e-5,1.3317134800144e-4
469,AKT1,5611.89374730268,0.275356070704876,0.0718681163267635,3.8314079285577902,1.2741205429814e-4,8.7585895089736e-4,5611.89374730268,0.420218661178843,0.0831175986982705,5.05571224096957,4.28787462311377e-7,4.30117772443755e-6
565,AMPD2,3203.91331919523,0.636949319507241,0.144101591070835,4.42014078244381,9.86366209222456e-6,9.56024785599959e-5,3203.91331919523,0.623091691867636,0.166602823780519,3.73998277897433,1.8403286289345e-4,9.7543882188198e-4
609,ANKIB1,4932.76943022802,0.234772353478489,0.0823064072106455,2.85241892381039,0.00433878789074348,0.0171345352295463,4932.76943022802,0.26046998042917,0.096231224632361,2.70670960932132,0.00679536689810569,0.0224192625832911
625,ANKRD13D,1857.59775068322,0.447063810267688,0.106500209232864,4.19777400897098,2.69551417985247e-5,2.3083011145924e-4,1857.59775068322,0.485494438063869,0.122863084964445,3.95150779588811,7.76603418537614e-5,4.5490719818964e-4
692,ANTXR2,7573.47147636519,0.886588342437604,0.11179553485752,7.93044501792971,2.18361971176618e-15,2.47868832409972e-13,7573.47147636519,0.554604900216637,0.128955197520906,4.3007564710738,1.70216041438279e-5,1.1736221044483e-4
726,AP1S1,3990.68164909685,0.275372963928286,0.0952860565668513,2.8899607544897,0.00385289923571705,0.0155238087977423,3990.68164909685,0.397012216864866,0.110437248354711,3.59491224907841,3.2450093318507e-4,0.00160442760684022
756,APBB2,4342.2189110059,0.27010195000108,0.066872355219206,4.03906740110606,5.36641442040245e-5,4.1715744757017e-4,4342.2189110059,0.35305051139446,0.0785565528157229,4.49422102599948,6.98250751561441e-6,5.29862871239373e-5
818,AREG,3326.55023383797,2.58111288438093,0.178452657144016,14.4638523499143,2.04995695653599e-47,1.2100212595446496e-43,3326.55023383797,1.25300844212657,0.209813274669672,5.9720169951081,2.34338111944029e-9,3.56249022238336e-8
841,ARHGAP10,955.122108427627,0.384802745404247,0.0887704853821105,4.33480501709405,1.45889375294843e-5,1.3518624059241e-4,955.122108427627,0.219483048372094,0.102138834935902,2.14886970768594,0.0316447297015151,0.0818761477505538
1068,ATF3,450.465407281174,1.65862462420026,0.248967267314185,6.66201883521964,2.7009140226419496e-11,1.3032094145216302e-9,450.465407281174,1.3886377145134,0.286336730644904,4.84966672416015,1.23669084728174e-6,1.11511576100016e-5
1193,ATP8B1,1190.45328918485,0.435038052202285,0.136101943934299,3.19641321517268,0.00139147678654306,0.00663085870185806,1190.45328918485,1.18663998619814,0.163079088845004,7.27646931683534,3.4267000653288996e-13,9.72473846126099e-12
1225,AUP1,5294.21165910904,0.214790187148199,0.0947622565753738,2.26662170056445,0.0234133452777668,0.0672338383740128,5294.21165910904,0.490819833147984,0.109352772718949,4.48840775541609,7.17574831151259e-6,5.42933969612399e-5
1240,AXL,29113.1698903385,0.369990527356968,0.0740099539434914,4.99919953523368,5.75688046073982e-7,7.97047992561106e-6,29113.1698903385,0.256096803532427,0.0855493324464367,2.99355700633633,0.00275745990505595,0.0103840617805622
1259,B3GNT7,176.89621710042599,1.3104016160969,0.325624237541944,4.02427542245869,5.71510015474631e-5,4.394398330015e-4,176.89621710042599,3.11646299848263,0.350690255235248,8.88665411130988,6.2976678799652e-19,3.90498543269349e-17
1301,BAIAP2L1,1797.21890841547,0.644440281510829,0.101796136677894,6.33069488236067,2.44059544498075e-10,9.33435510577088e-9,1797.21890841547,0.82057170100751,0.120324824273853,6.81963764301814,9.127042921020649e-12,2.06052667241895e-10
1321,BAZ1A,2631.45167442513,0.398404803285543,0.125213186074481,3.18181188240477,0.00146356847598698,0.00691116548607401,2631.45167442513,0.659690696374393,0.144117545255582,4.57744888177551,4.70680756401239e-6,3.72086086883692e-5
1341,BCAM,703.107719724367,0.41762508782928,0.179200710864015,2.33048789715009,0.0197803789571059,0.058691513165622,703.107719724367,1.9086045637147,0.217480765737039,8.77596948514719,1.69437771904672e-18,1.00256218892353e-16
1352,BCAT2,1608.01670648548,0.70342851030405,0.125662218107281,5.59777251188988,2.17123395993857e-8,4.86070935051735e-7,1608.01670648548,0.55363152516598,0.144977613365351,3.81873802661382,1.3413611814321e-4,7.3999651282786e-4
1408,BET1,1209.73788165902,0.614999199176588,0.122766249205586,5.00951363388727,5.45677611984496e-7,7.62055138250904e-6,1209.73788165902,0.311258445472772,0.143232876392909,2.17309358934428,0.0297732741101784,0.0778897415169614
