...1,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
4,EMC10,1348.32988168787,-0.898985937272588,0.0600521666968623,-14.9700832912588,1.15176914999386e-50,5.89043537535611e-47
6,TTYH3,1695.12078498974,-0.774483426566964,0.0526411973852102,-14.7124963913636,5.35932631780777e-49,1.82726230805656e-45
19,DYNLL2,2821.32692641059,-0.546022529939474,0.0444410508915535,-12.2864450544137,1.07113733342302e-34,1.15327665420183e-31
24,SLC4A2,2126.80918557525,-0.883916399765425,0.0749710171522977,-11.7901081423214,4.38977003827097e-32,3.74173023637122e-29
37,IQCE,592.185733988343,-0.673800530288244,0.0596010473220737,-11.3051793645025,1.23701138631813e-29,6.839335656732399e-27
42,MYO1B,3528.53422628173,-0.590513239122442,0.0535138345644832,-11.0347771548848,2.5969448018519e-28,1.2648976145591498e-25
44,PIK3C2B,461.61188166791,-0.975013018468394,0.0887477885607525,-10.986335933328,4.44611313818332e-28,2.06713946517764e-25
56,TLN2,264.799191526979,-0.912238561133835,0.0887420929865295,-10.2796601976957,8.70339051928426e-25,3.17937964023211e-22
63,RHOD,738.437468447173,-0.712918180934119,0.070492916009111,-10.1133308323063,4.82165504697844e-24,1.56566027454028e-21
69,GAPDH,27141.5421458868,-0.520579943916637,0.0521927222181872,-9.97418647259664,1.9771502855450198e-23,5.7780804844849404e-21
75,UCN2,116.966659830702,-1.29973335695101,0.130973903804468,-9.92360553665247,3.2866447808127695e-23,8.964652304144911e-21
81,LASP1,3449.13607215856,-0.494089821886299,0.0503282496964572,-9.81734562330865,9.48070027953974e-23,2.39440352615487e-20
86,SYTL2,439.074710033077,-1.38878365836498,0.143650841137149,-9.66777254745796,4.1327488653518196e-22,9.83065622540724e-20
88,TEX261,1346.76551903689,-0.579453710955154,0.0600176373230763,-9.65472379120727,4.69422565771209e-22,1.09124743499791e-19
89,RNPEP,1449.32110480127,-0.429166061267666,0.0444859530824579,-9.6472264058764,5.050318200899279e-22,1.1608354992786098e-19
97,C15orf39,501.228373521496,-0.643402241143077,0.0680253688835832,-9.45826905024474,3.1308282434948902e-21,6.602819935791239e-19
107,IDH1,1808.65404997169,-0.527835560346924,0.0565280019766519,-9.33759449988944,9.85475340876667e-21,1.88409991105738e-18
110,SSBP3,662.995883097538,-0.62757633657484,0.0682225826034513,-9.19895308306742,3.6145407543445096e-20,6.7220600192387006e-18
113,PTTG1IP,2848.81004762839,-0.354851961170091,0.0388249744189592,-9.13978609080055,6.257598198821379e-20,1.13284678188751e-17
144,RAD51C,633.956236383401,-0.634711827276165,0.0726574777633749,-8.73567108045291,2.42213819470518e-18,3.44095007285304e-16
152,TPM3,5375.1474360254,-0.396785491692723,0.0459924618784042,-8.62718531444898,6.28802480643245e-18,8.46277128060451e-16
156,PHLDB1,1248.38818598816,-0.637258604663137,0.0739765917842404,-8.61432771222768,7.03531912817964e-18,9.22573867981864e-16
161,AGPAT2,924.579538080458,-0.72927284624913,0.0848806990184858,-8.59173940226747,8.56625014078296e-18,1.0884458331055702e-15
171,FNBP1L,1149.74964675137,-0.479402856696965,0.0564345941667066,-8.49484015568215,1.9820549549026402e-17,2.37116363815458e-15
179,SLC44A1,1670.57833862127,-0.371413701538018,0.0440058697453853,-8.44009455299919,3.17081060700006e-17,3.6237582451061506e-15
181,FAM13B,680.001472771927,-0.611882213699596,0.0725615217100102,-8.43259897642396,3.3807164751456e-17,3.82095673657755e-15
184,ALG8,713.575552347541,-0.540379566545176,0.0642472654580473,-8.41093488870804,4.06755490170943e-17,4.5222810121885806e-15
186,SH3BP4,668.941129346482,-0.629777686809922,0.0748993246905032,-8.40832263057471,4.15915772993871e-17,4.5744026710406604e-15
201,ZEB2,34.3414396392639,-2.64140060719851,0.317280693241736,-8.32512240253467,8.42416489184672e-17,8.57378811903027e-15
202,SGPL1,1044.8353972668,-0.389513455985587,0.046798499566844,-8.32320394010133,8.561695087661231e-17,8.6706235845686e-15
214,TBL1X,835.269807645206,-0.870040675756926,0.105519635420528,-8.2452964539685,1.64751248608152e-16,1.57491415550325e-14
220,G6PC3,797.692853031529,-0.538799617310855,0.0656240657682108,-8.21039676532594,2.20458782812371e-16,2.04996605454213e-14
224,ADAM12,26.6902191424628,-3.2987405061345,0.404279464347507,-8.15955495404287,3.36261263488574e-16,3.0709360121365e-14
230,NACC2,1049.45482669508,-0.472414449227727,0.0583104335370873,-8.10171388842884,5.41902683758027e-16,4.8198709572339e-14
232,AKAP1,1489.41191007326,-0.522525491035166,0.0645842292065063,-8.09060505103196,5.93690700841629e-16,5.23497011513673e-14
234,SEPTIN9,4684.95147432466,-0.472728896722879,0.058570064720367,-8.07116910284878,6.96282015500084e-16,6.08711162012189e-14
241,UBR3,948.655982731569,-0.531966719616,0.0667870039491494,-7.96512327489689,1.6505914551162402e-15,1.4010850372329e-13
244,PGAM1,966.36956676169,-0.505276527877212,0.0635536979545722,-7.95038753273461,1.8592896824144003e-15,1.5588315177520998e-13
246,DNAJC15,288.277950229193,-0.664193635049602,0.0836299373733053,-7.94205587031341,1.9885732402951102e-15,1.65366840555761e-13
247,ECHS1,1277.58734221481,-0.363052804564388,0.0457250150279766,-7.93991657175523,2.0231728981641802e-15,1.67562947278318e-13
273,PRPF19,2627.79474434691,-0.436285130320154,0.0558641221054402,-7.8097554186333,5.72990677604245e-15,4.29365212152016e-13
276,PHKB,1428.1581969426,-0.517054227493614,0.0664524355723186,-7.78081680589293,7.20577768848086e-15,5.3408910932338e-13
278,EEPD1,67.213285516921,-0.945205919911295,0.121554856671302,-7.77596178215436,7.48763119863118e-15,5.5098730730359e-13
280,RNF167,1277.1515821194,-0.39347511739622,0.050654130147023,-7.76787828068833,7.98116996458929e-15,5.83109978448583e-13
281,GTF3C6,500.588247539116,-0.399505208208374,0.0515396350112727,-7.75141710105232,9.08726620040222e-15,6.61559447194406e-13
300,BAD,218.476977457931,-0.492527691468123,0.0641352464862615,-7.67951662232448,1.5968999519360402e-14,1.08892607722519e-12
310,WNK1,5809.9770718273,-0.24873408938415,0.0327363131214023,-7.598109428564,3.00488196047057e-14,1.98293129888214e-12
312,UBFD1,2055.75257229054,-0.362712421062237,0.0477784655384133,-7.5915460443287,3.16110799092012e-14,2.07265340289272e-12
317,SLC2A1,2317.27609035055,-0.778445845949821,0.102625237742528,-7.58532562821274,3.31653073074529e-14,2.14026085674626e-12
332,MEGF8,886.598252861212,-0.460919871893641,0.0612230398946832,-7.52853619628367,5.13122944374716e-14,3.16173375694987e-12
343,NCOR2,3650.01215218094,-0.353658193050222,0.0472954117402187,-7.47764275724618,7.56675527418062e-14,4.5129187359741395e-12
345,LNPK,749.453723766056,-0.496836285375898,0.0665898806691625,-7.46113794443216,8.5778386536528e-14,5.08628537210943e-12
349,HELZ,1413.98352804993,-0.283239931169838,0.0381147332724539,-7.43124526531948,1.07580019678476e-13,6.30591536550883e-12
353,TPGS2,1474.50888052505,-0.41027099142961,0.0552914502502668,-7.42015247515832,1.16985578120096e-13,6.77952966459718e-12
356,DNAAF5,977.728782285387,-0.453127800562189,0.0611423227944053,-7.41103346835313,1.25318949984047e-13,7.20126337029113e-12
362,TMEM109,1063.99840497362,-0.540284031712437,0.0733265906942849,-7.3681869918786,1.72964071666084e-13,9.77438125434554e-12
370,CCDC47,2025.08330536811,-0.413933713301961,0.0563203753493591,-7.34962632500764,1.98761728249736e-13,1.0989374796769898e-11
377,PSMD1,2807.81058449004,-0.381019996564542,0.0520933531344606,-7.31417683137182,2.58963938101322e-13,1.4014881697721598e-11
387,PARVA,965.93048955975,-0.487846187126566,0.0670338860917836,-7.27760563453835,3.3979691598430997e-13,1.7961823024007897e-11
393,YWHAQ,4857.24709295353,-0.299336771069179,0.0412939640072369,-7.24892313599922,4.20098192128854e-13,2.18675539856997e-11
395,JPT1,2939.61576656319,-0.430560184710523,0.0594451323761908,-7.24298470707036,4.38916419330313e-13,2.27314257980765e-11
397,NECTIN1,1644.50402481129,-0.55466267169705,0.0767351484935951,-7.22827390818624,4.89171360802295e-13,2.5206495032575696e-11
402,CTBP2,1231.5958489931,-0.434975413204393,0.0602405217111261,-7.22064485580402,5.174162031128819e-13,2.63303066345279e-11
403,SRRT,3428.70686700882,-0.303987345230913,0.0421042195936624,-7.21987839139689,5.20340853772498e-13,2.64134313787196e-11
414,LRRC42,1044.15959941158,-0.296362766749001,0.0412374187643752,-7.18674387556545,6.6354716319754e-13,3.2787884824956696e-11
419,EIF3B,4834.54856330956,-0.433417535945077,0.0605202444525299,-7.16152982965948,7.978164878439299e-13,3.89521047537548e-11
425,RAD23B,4340.39607806173,-0.367509864757439,0.0515663564488491,-7.12693100824349,1.02631501318949e-12,4.9400767587805596e-11
