...1,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2,BAG1,917.939217413917,-0.949901491180218,0.0587379071326039,-16.1718647727057,7.96505019945233e-59,6.812033893165659e-55
37,IQCE,592.185733988343,-0.673800530288244,0.0596010473220737,-11.3051793645025,1.23701138631813e-29,6.839335656732399e-27
41,ZNF544,431.88697791886,-0.749545402570398,0.0676725533673592,-11.0760620853406,1.63924837833405e-28,8.179049774531649e-26
44,PIK3C2B,461.61188166791,-0.975013018468394,0.0887477885607525,-10.986335933328,4.44611313818332e-28,2.06713946517764e-25
72,ZW10,509.725599806024,-0.558125478538504,0.0560762072118204,-9.95298195597037,2.4473771117268198e-23,6.953610218693821e-21
89,RNPEP,1449.32110480127,-0.429166061267666,0.0444859530824579,-9.6472264058764,5.050318200899279e-22,1.1608354992786098e-19
107,IDH1,1808.65404997169,-0.527835560346924,0.0565280019766519,-9.33759449988944,9.85475340876667e-21,1.88409991105738e-18
129,SAMD9,1668.35780017817,-1.45861771381818,0.163000865041788,-8.94852744152151,3.6025589719511395e-19,5.71298828598484e-17
148,RMI1,551.293065586391,-0.560039835819542,0.0644724292360459,-8.68650122937246,3.73772904678209e-18,5.16640021013657e-16
207,TMEM123,3697.19356303831,-0.29812438957936,0.0358993133390898,-8.30445938515322,1.0027496089724001e-16,9.909782005192422e-15
214,TBL1X,835.269807645206,-0.870040675756926,0.105519635420528,-8.2452964539685,1.64751248608152e-16,1.57491415550325e-14
218,SRBD1,299.11168164205,-0.643505713211557,0.0783162787813744,-8.21675548461578,2.0908276296093498e-16,1.9620211384825e-14
232,AKAP1,1489.41191007326,-0.522525491035166,0.0645842292065063,-8.09060505103196,5.93690700841629e-16,5.23497011513673e-14
254,ATPSCKMT,531.445977762345,-0.680333751608098,0.0859453278736024,-7.91588988535418,2.4549081876151704e-15,1.97716759031668e-13
270,ZHX1,1472.73783716098,-0.482339329297385,0.0617079028820156,-7.81649200135045,5.4315767613917506e-15,4.10013895969708e-13
