...1,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
25,FLYWCH1,950.035101600829,0.575672992697666,0.0489096290211042,11.7701361514983,5.56346510255439e-32,4.5524722241182e-29
50,ACSS2,927.742296511563,0.867682542210639,0.082013363239651,10.5797702707934,3.6986396736338995e-26,1.5132614360705798e-23
80,PIAS3,805.497558887285,0.500592606647701,0.0509595727123316,9.82332817964473,8.934411553877229e-23,2.28464071447083e-20
122,MAFF,219.224593756566,0.859829092036416,0.0951158282869676,9.03981080249108,1.5694321556372299e-19,2.63162898425171e-17
130,ENTPD4,1191.42420550118,0.415776932129077,0.0466997275119254,8.90319824720396,5.426014359421449e-19,8.53845967312959e-17
142,CRTC1,461.391788503759,0.702418962166039,0.0803555316422467,8.74138902214348,2.3026164700618697e-18,3.31722712169406e-16
166,SELENOM,356.586075778565,0.834656744869978,0.0977840523105174,8.53571441506116,1.3929203128533e-17,1.71656450843614e-15
174,ZFTRAF1,762.486309971297,0.65480901252729,0.0773881545738449,8.46135970205184,2.64277873608848e-17,3.1070876209288602e-15
191,AKAP8L,1118.73380132194,0.488302101964745,0.0582172789185946,8.38758030322131,4.9625019235917304e-17,5.315073395335921e-15
200,EPOR,210.791179990808,0.878898463914716,0.105516498889072,8.32948849865353,8.11923839562594e-17,8.30476299296599e-15
213,TPCN1,904.258662873244,0.557932994583513,0.0676399735356753,8.24856908451099,1.60302339130162e-16,1.53957978947687e-14
253,WRN,850.353890926678,0.409096526054057,0.0516360849796084,7.92268674543418,2.3243262537717104e-15,1.87939692385011e-13
285,JUN,704.272712842383,1.09456621101813,0.141839866803018,7.71691510778289,1.19178971295066e-14,8.554541108011069e-13
288,IL13RA1,1862.65379352636,0.315273188479037,0.0408817852788657,7.71182536008329,1.2403078318594e-14,8.810061568176269e-13
315,TOP1MT,853.076500753588,0.37521101185892197,0.0494450049863713,7.58845128971758,3.2375162867194904e-14,2.10253557706097e-12
327,IRS2,292.284051496699,1.08901572721851,0.144207806319472,7.55171134637431,4.2957574120008604e-14,2.68741007270035e-12
342,PPP1R15A,568.382961258267,0.514329252960126,0.0687576530013749,7.48032008814847,7.41418044444512e-14,4.4348505658483594e-12
390,LZTS3,190.056146035096,0.990879194824701,0.136383600800565,7.26538373388214,3.71980760778158e-13,1.9511821598048197e-11
409,KHNYN,1053.02644852268,0.443009952202291,0.0615236655718419,7.20064300598253,5.99292657714697e-13,2.9974889728287395e-11
424,DNAAF9,340.998185698445,0.461709074599996,0.0647685580022933,7.12859895049151,1.0139569416458998e-12,4.8921031026533296e-11
471,HEXB,2247.26618565753,0.52323667872356,0.0753152195672189,6.94729009262956,3.7236951027936e-12,1.61731700037895e-10
547,NR4A1,349.326452186895,1.19654965861982,0.178610891962414,6.69919759916775,2.0956705817545298e-11,7.83750147915034e-10
585,LNP1,44.7992694915336,0.933327436999716,0.142996488005168,6.52692559110953,6.713337594605909e-11,2.3476025157752702e-9
586,RPS14,5787.43679780081,0.355718455222966,0.0545247972797737,6.52397574992767,6.846778383664129e-11,2.39017995553954e-9
594,DUSP3,1386.88529879825,0.362513024735691,0.0556365648800265,6.51573341232347,7.23353448996901e-11,2.4871576905630703e-9
627,RPS4X,12840.9652990097,0.290537073698103,0.0450699460965705,6.44635946702876,1.14568748813578e-10,3.7380109959798405e-9
640,CSF1,331.428707568641,0.754950455127437,0.117648444585265,6.41700328286356,1.38982927207743e-10,4.4424589717012505e-9
829,ZSCAN32,354.351023796582,0.327506212364049,0.054911884742583,5.96421364699717,2.4581493788163e-9,6.06590613298493e-8
831,NPC1,1510.78073790343,0.383682132414027,0.0643748085900579,5.96012851637873,2.5203963703800104e-9,6.21080634332668e-8
857,HCFC1R1,670.915962019282,0.418694253306825,0.0708199788104593,5.9120923267628704,3.3778909801422503e-9,8.06318737231856e-8
910,WDR13,901.209154797484,0.300179951283924,0.051717698489972,5.80420165723594,6.4673403344802705e-9,1.45387232112597e-7
965,FITM2,570.759910795285,0.326555346185665,0.0571190857326767,5.71709686870651,1.08359351882505e-8,2.2971059704253e-7
