...1,gene_name,baseMean.FaDu,log2FoldChange.FaDu,lfcSE.FaDu,stat.FaDu,pvalue.FaDu,padj.FaDu,baseMean.HCT116,log2FoldChange.HCT116,lfcSE.HCT116,stat.HCT116,pvalue.HCT116,padj.HCT116,baseMean.SiHa,log2FoldChange.SiHa,lfcSE.SiHa,stat.SiHa,pvalue.SiHa,padj.SiHa
443,AKAP1,1489.41191007326,-0.747495952153441,0.0686649886307172,-10.8861294097564,1.34224381340581e-27,1.7031906823586399e-25,1489.41191007326,-0.303002003722553,0.0687429965861891,-4.40775088037737,1.04449582196465e-5,8.46354655906853e-5,1489.41191007326,-0.515523348589418,0.0793484876135025,-6.49695241956563,8.196336997545909e-11,1.24641506109192e-9
530,ALKBH8,328.653171141612,-0.257376668003014,0.11327014039136,-2.27223756511425,0.0230721655160758,0.0643236252749566,328.653171141612,-0.245157385483314,0.1126007322525,-2.17722727533923,0.0294636141999804,0.0837281329656291,328.653171141612,-0.292609237582001,0.120946900702255,-2.41931984931421,0.0155495608067438,0.0446807872192608
966,ARPC3,1986.03127752079,-0.247265841724613,0.0656174061444907,-3.76829649712349,1.643654037911e-4,8.9163648878127e-4,1986.03127752079,-0.369589965098442,0.0714238111433811,-5.17460436767371,2.28394415471653e-7,2.60039098421937e-6,1986.03127752079,-0.155742042475296,0.0668814306718034,-2.32862905160543,0.0198787256423909,0.0547774913508613
1188,ATPSCKMT,531.445977762345,-0.523919774295969,0.123104340995624,-4.25590007678602,2.08209686738186e-5,1.4033717569177e-4,531.445977762345,-0.898458030924195,0.150490151268289,-5.97021149458779,2.3694623098003e-9,3.86770395399036e-8,531.445977762345,-0.675288067521865,0.115310649400323,-5.85625066751184,4.734334792118321e-9,5.58986515173776e-8
1277,BAG1,917.939217413917,-0.949849256163054,0.104995063556056,-9.0466087070459391,1.47477381210361e-19,8.409743691332939e-18,917.939217413917,-0.831717999596909,0.0894018084393006,-9.30314513896666,1.3635139773733398e-20,8.553599447600849e-19,917.939217413917,-1.04950451953316,0.0803257795238233,-13.0656001815942,5.17746679701176e-39,7.52343453014664e-37
1504,BRAT1,1066.63961875493,-0.721045573227306,0.0932171674807998,-7.73511567357827,1.0330912939023e-14,3.3011791327597e-13,1066.63961875493,-0.214724355137534,0.0861583463814178,-2.49220608514191,0.0126952352776084,0.0421039627486128,1066.63961875493,-0.357346274408119,0.0866958838906675,-4.12183668210558,3.75863639054482e-5,2.1950928869698e-4
1505,BRCA1,1472.2820194588,-0.559867828592541,0.0945678002310119,-5.92027970646336,3.21394534733913e-9,4.67436851970561e-8,1472.2820194588,-0.464002213854645,0.0984525849005807,-4.71295105479661,2.44154857504366e-6,2.26634267149604e-5,1472.2820194588,-0.373908674470467,0.0994758312051969,-3.75878914446239,1.7073764781094e-4,8.5859021715129e-4
1858,CALM3,3389.17904842714,-0.305839801393532,0.0833400247859633,-3.66978294257772,2.427565093656e-4,0.00126252130546516,3389.17904842714,-0.267977012700425,0.0812703147614126,-3.29735418753,0.00097600337207077005,0.00477577382877148,3389.17904842714,-0.518078595567024,0.0818480876727042,-6.32975809573863,2.45545848442998e-10,3.4829160585005805e-9
1958,CASP8,510.695718406315,-0.262456573880065,0.104987602206547,-2.49988158948256,0.0124234823362787,0.0383891853908634,510.695718406315,-0.222703719629542,0.099697226413698,-2.23380055434465,0.0254961990639669,0.0742707209849878,510.695718406315,-0.398740741195593,0.0997083236992027,-3.99907175652158,6.35913995221651e-5,3.5239335718257e-4
2537,CFAP68,157.362129620928,-0.39020723093449,0.128500495170793,-3.03662044582675,0.00239246503265837,0.00932023474680327,157.362129620928,-0.413181180981102,0.129705196079002,-3.18554069899742,0.00144483779689016,0.00669361452464384,157.362129620928,-1.54297087008483,0.226741730959638,-6.80497085187857,1.01069698144973e-11,1.74225331152016e-10
2587,CHD9,1818.30037401742,-0.268876981042588,0.0723275917214791,-3.71748836983244,2.0121324668129e-4,0.0010677106553443,1818.30037401742,-0.198064966298223,0.0802539946994808,-2.46797641712287,0.0135879271230113,0.0445717445408961,1818.30037401742,-0.202796109530776,0.0741627957832812,-2.73447228342615,0.00624803553015132,0.0206516786849163
