...1,gene_name,baseMean.MDA24h10w_24h,log2FoldChange.MDA24h10w_24h,lfcSE.MDA24h10w_24h,stat.MDA24h10w_24h,pvalue.MDA24h10w_24h,padj.MDA24h10w_24h,baseMean.MDA24h10w_10w,log2FoldChange.MDA24h10w_10w,lfcSE.MDA24h10w_10w,stat.MDA24h10w_10w,pvalue.MDA24h10w_10w,padj.MDA24h10w_10w
12,AAMP,3752.52525127553,0.25103903118287,0.116306090862216,2.15843408820496,0.0308940978052645,0.0840357425400343,3752.52525127553,0.308971258162903,0.133883999090378,2.30775343029853,0.0210128544502779,0.0584242540965497
16,AARS1,5654.54821601361,0.914237994367374,0.129495474214405,7.05999958619154,1.6650310009209699e-12,1.05301317729673e-10,5654.54821601361,0.324503802882252,0.148990116942608,2.1780223382686,0.0294043737186615,0.0770805835456907
32,ABCA2,2738.50800980859,0.309276648995137,0.133168856248507,2.32243977839679,0.0202092675561731,0.0597837804685456,2738.50800980859,1.26649390141459,0.155253235691349,8.15760068236156,3.4174516635852e-16,1.49821742907685e-14
82,ABI2,2671.50768615217,0.620276415066893,0.097995579763772,6.32963666894089,2.4573915003571e-10,9.378338079380081e-9,2671.50768615217,0.760823093231372,0.114984850230443,6.61672465291376,3.6724460776997594e-11,7.59056035192145e-10
243,ADAMTS2,4.65540812754075,2.45359978793721,1.13146449789055,2.16851681383868,0.0301193867486956,0.0823077315657256,4.65540812754075,2.91320521234679,1.17331059276355,2.48289347280603,0.0130320053325603,0.039130595116308
270,ADCY6,1595.6087946226,0.338769999764189,0.0977850554518,3.46443531886296,5.3134590122779e-4,0.00296069012553237,1595.6087946226,0.4861117856377,0.113824256797799,4.27072224597296,1.94840946157639e-5,1.3262369064399e-4
298,ADGRG6,3105.34032890474,0.943559962269585,0.105849437444579,8.91417077926006,4.91480271331854e-19,1.19220995133486e-16,3105.34032890474,0.741890591702381,0.124523848556621,5.95781932779764,2.55625890866273e-9,3.87635040203077e-8
341,AEN,1052.03906737193,0.47791490424266603,0.138280383898317,3.45612942898753,5.4799212353877e-4,0.00303719703399832,1052.03906737193,0.485093347965578,0.157842753244127,3.07326968134743,0.00211727054121634,0.00822999150263267
346,AFDN,5618.61496413079,0.327842365544933,0.0725694732138295,4.51763463376576,6.25342665124448e-6,6.50620911517257e-5,5618.61496413079,0.310356458819878,0.0849039424414751,3.65538336495751,2.5679794116049e-4,0.00130881977550393
361,AGAP1,1456.63272032096,0.331392568589332,0.138654654415484,2.39005729729275,0.0168457444821234,0.0515829920957013,1456.63272032096,0.369979369641468,0.160970732615047,2.29842632651896,0.0215375365634894,0.0596449429517496
382,AGO2,4471.21294002638,1.24299049531129,0.181526553858379,6.84743068653763,7.51881009995314e-12,4.22676473809429e-10,4471.21294002638,0.438661839823621,0.209852113380674,2.09033796589831,0.0365874511007493,0.0921231770852951
386,AGPAT3,4501.51498623396,0.254083701752284,0.0942917968388911,2.6946533025181,0.00704619046946804,0.0255161433197014,4501.51498623396,0.520447942445247,0.109660756656195,4.74598168310056,2.0749749004126e-6,1.78054481264789e-5
397,AHCYL1,7951.0679322338,0.423558253174247,0.10614722069416101,3.99029056440991,6.59923996482562e-5,4.9812165940806e-4,7951.0679322338,0.52523786776866,0.123014611357335,4.26971936075901,1.95719074909883e-5,1.3317134800144e-4
443,AKAP8L,2165.0734994594,0.431006335948838,0.105486141739833,4.0859048292036,4.39053737363294e-5,3.5132234890326e-4,2165.0734994594,0.829161108040071,0.120960055370786,6.85483406483568,7.1395342866633694e-12,1.65728727941445e-10
469,AKT1,5611.89374730268,0.275356070704876,0.0718681163267635,3.8314079285577902,1.2741205429814e-4,8.7585895089736e-4,5611.89374730268,0.420218661178843,0.0831175986982705,5.05571224096957,4.28787462311377e-7,4.30117772443755e-6
574,ANAPC1,1400.14680253225,0.770588933800416,0.115554985300884,6.66859098976947,2.5827090998623498e-11,1.25300308877706e-9,1400.14680253225,0.398486023331286,0.135858532626827,2.9330952986651,0.00335600863004127,0.0122730543840693
576,ANAPC11,2072.59140519193,0.297970331234045,0.123575738147645,2.4112365072668,0.0158985350623161,0.0492573977244546,2072.59140519193,0.543568995107865,0.142483410412206,3.81496339493358,1.3620312193871e-4,7.502566856776e-4
586,ANGEL1,486.298757716361,0.371661388074824,0.128241051966066,2.89814675080152,0.00375374903439852,0.0151795816170653,486.298757716361,1.54543314079921,0.150023283162747,10.3012886281305,6.952365801305689e-25,8.563233686968759e-23
619,ANKRD11,7167.2385704809,0.416616577811662,0.137640706411513,3.02684132240702,0.00247123646039699,0.0107493626236084,7167.2385704809,0.525306774293261,0.158839499458778,3.3071545559081,9.4248875843481e-4,0.00408735364316664
623,ANKRD13B,560.1845963782,0.476127678047579,0.189135463584486,2.51738975348161,0.0118227963265135,0.0388924098973095,560.1845963782,1.262627334497,0.214930189205858,5.8745927650381,4.238840639250371e-9,6.2044016664727e-8
672,ANKS6,1462.57946786917,0.236641761464504,0.0913190114380629,2.59137454225516,0.00955933893611442,0.0327168097952675,1462.57946786917,0.373585508497742,0.104674407629235,3.56902433898656,3.5831314014119e-4,0.00175198966119269
673,ANKZF1,1898.90632760857,0.423488922708712,0.120215214148659,3.52275646396157,4.270836079775e-4,0.00246988782823826,1898.90632760857,0.4183509436515,0.13950679061558,2.99878552008478,0.00271058047662894,0.0102287974384835
713,AOC3,125.631279240232,3.01807143487322,0.626687210552746,4.8159135595112,1.46527948589761e-6,1.81448735218705e-5,125.631279240232,2.62133738261102,0.721758158629503,3.63187772977655,2.8136643586562e-4,0.00141629710530524
729,AP2A1,6287.15945778174,0.307349371678884,0.0803486439215229,3.82519675103757,1.3066768808872e-4,8.9545798013743e-4,6287.15945778174,0.587400521926172,0.0927258686412865,6.33480743328006,2.37637882739095e-10,4.3069784833574105e-9
740,AP3S2,406.055896766399,0.431824951615999,0.186128578288986,2.32003572791246,0.020338944673273,0.0600570338960011,406.055896766399,0.456124219655881,0.217791130659958,2.09431953575757,0.0362315252106582,0.0914424303685778
756,APBB2,4342.2189110059,0.27010195000108,0.066872355219206,4.03906740110606,5.36641442040245e-5,4.1715744757017e-4,4342.2189110059,0.35305051139446,0.0785565528157229,4.49422102599948,6.98250751561441e-6,5.29862871239373e-5
798,APPL2,2032.60137997614,0.215884530071929,0.0708298808026062,3.04793016203955,0.00230423471785277,0.0101198879919982,2032.60137997614,0.824560765126066,0.082149919053144,10.0372681389089,1.04528974455471e-23,1.16110528312316e-21
827,ARFGAP1,5805.12170239513,0.904668272414153,0.168891011254811,5.35652114160919,8.48395771809721e-8,1.54245736038119e-6,5805.12170239513,0.661035066732781,0.19495132792527,3.39076975657316,6.9696626813787e-4,0.00314459786964975
866,ARHGAP42,1511.82200836879,0.500487701214225,0.113549595870409,4.40765726533644,1.0449472417012e-5,1.0072904603181e-4,1511.82200836879,0.5769273755682,0.132595748079001,4.35102470423459,1.35502782609744e-5,9.57616464454342e-5
955,ARMC9,1674.37887915454,0.694033076527478,0.19202370983981,3.61430928038238,3.0114940152058e-4,0.00183571552568897,1674.37887915454,0.749619291498474,0.222302067958563,3.37207520551811,7.4604073884175e-4,0.00334021108246015
967,ARNT,2105.18065874404,0.420854294515747,0.147455273029377,2.85411491816846,0.00431569169467171,0.0170585420824211,2105.18065874404,0.844548310124575,0.170743853530005,4.94628821280621,7.56419402895758e-7,7.18935942720766e-6
