...1,gene_name,baseMean.MDA24h10w_24h,log2FoldChange.MDA24h10w_24h,lfcSE.MDA24h10w_24h,stat.MDA24h10w_24h,pvalue.MDA24h10w_24h,padj.MDA24h10w_24h,baseMean.MDA24h10w_10w,log2FoldChange.MDA24h10w_10w,lfcSE.MDA24h10w_10w,stat.MDA24h10w_10w,pvalue.MDA24h10w_10w,padj.MDA24h10w_10w
62,ABHD10,1674.12233423926,0.315782430333006,0.0717762124658318,4.39954156794398,1.08479797513098e-5,1.0372355585107e-4,1674.12233423926,0.172987424853894,0.0839215675011191,2.06129878176533,0.0392745443707642,0.0978405201399363
111,ACADVL,11753.753868802,0.210867932058492,0.0962705239380594,2.19036859292637,0.0284975158714658,0.0789107132215663,11753.753868802,1.24200897081325,0.110756853862029,11.2138339751004,3.48752349195452e-29,6.31451003453285e-27
361,AGAP1,1456.63272032096,0.331392568589332,0.138654654415484,2.39005729729275,0.0168457444821234,0.0515829920957013,1456.63272032096,0.369979369641468,0.160970732615047,2.29842632651896,0.0215375365634894,0.0596449429517496
397,AHCYL1,7951.0679322338,0.423558253174247,0.10614722069416101,3.99029056440991,6.59923996482562e-5,4.9812165940806e-4,7951.0679322338,0.52523786776866,0.123014611357335,4.26971936075901,1.95719074909883e-5,1.3317134800144e-4
576,ANAPC11,2072.59140519193,0.297970331234045,0.123575738147645,2.4112365072668,0.0158985350623161,0.0492573977244546,2072.59140519193,0.543568995107865,0.142483410412206,3.81496339493358,1.3620312193871e-4,7.502566856776e-4
615,ANKRA2,374.947097605622,0.926230070454875,0.131707565992556,7.03247428099326,2.02902716475396e-12,1.26514130399518e-10,374.947097605622,0.697855367233334,0.156035217972481,4.47242216405536,7.7338554543682e-6,5.79591005201948e-5
673,ANKZF1,1898.90632760857,0.423488922708712,0.120215214148659,3.52275646396157,4.270836079775e-4,0.00246988782823826,1898.90632760857,0.4183509436515,0.13950679061558,2.99878552008478,0.00271058047662894,0.0102287974384835
798,APPL2,2032.60137997614,0.215884530071929,0.0708298808026062,3.04793016203955,0.00230423471785277,0.0101198879919982,2032.60137997614,0.824560765126066,0.082149919053144,10.0372681389089,1.04528974455471e-23,1.16110528312316e-21
875,ARHGEF1,5074.35883178215,0.810341898473528,0.128316144697674,6.31519829700915,2.69815281321586e-10,1.01226461899208e-8,5074.35883178215,0.818532672023671,0.147828261233285,5.53705134048734,3.07606403168569e-8,3.88390623135991e-7
906,ARID3A,254.261473860882,1.10965188867659,0.224645868407325,4.9395606362303,7.82987933295317e-7,1.04484930842453e-5,254.261473860882,1.55138712172018,0.25602776419548,6.05944877343723,1.36588817974373e-9,2.15800797403491e-8
923,ARL14EP,999.174885903798,0.304559680151797,0.129177275755815,2.35768774631468,0.0183891538037237,0.0552866972216058,999.174885903798,0.320655294710316,0.149547937290318,2.14416394181236,0.0320197531502219,0.0826914349647579
1129,ATP2B4,4019.00496136943,0.466406472310284,0.128559694497046,3.62793699950025,2.8569494911462e-4,0.00175784786619935,4019.00496136943,0.753669097509434,0.149788385094316,5.03155900262145,4.86507331666409e-7,4.80562015665684e-6
1238,AXIN1,1880.19233189833,0.663833470759186,0.148635136483051,4.46619478049783,7.96231222960452e-6,7.97307199906105e-5,1880.19233189833,1.0323642612739,0.171279287055564,6.02737364815745,1.6664543683924301e-9,2.60110541328563e-8
1432,BIRC2,6130.64614970043,0.465628167072879,0.113629786326783,4.0977650502114,4.17158377650518e-5,3.3669282367526e-4,6130.64614970043,0.42041668143055,0.131560655438959,3.19561102844774,0.00139535084850017,0.00576019663997813
1453,BLTP3A,2446.36072107563,1.39216926213481,0.1314460213085,10.5911860113851,3.27416878824623e-26,2.5208252566201798e-23,2446.36072107563,0.734846531867154,0.152969450167874,4.80387770931195,1.55621899148897e-6,1.37515378525619e-5
1526,BRD1,1039.83621816009,0.343049687960685,0.132092721423365,2.59703702266222,0.00940317883171625,0.0322384299616711,1039.83621816009,0.343825636438006,0.153089160542286,2.2459175765291,0.0247092878393543,0.0668239530424719
1534,BRD9,2569.99192149153,0.210876327053767,0.0850366494393886,2.4798287378911,0.0131445500414355,0.0423746026094555,2569.99192149153,0.341980549698725,0.0983914171492843,3.47571525654372,5.0949292919813e-4,0.00239296471493164
1726,C2CD2L,2064.20110329425,0.520120467569545,0.160512459077694,3.24037442674645,0.00119372837266528,0.00580729176460352,2064.20110329425,0.490993598417832,0.184607687477886,2.65965954682492,0.00782196733280446,0.0252900965228138
1918,CAPN10,673.459536494036,0.339218617384435,0.126296797145994,2.68588455962437,0.00723380770452422,0.0260570111537256,673.459536494036,0.46188671897287,0.144333445010976,3.20013645442845,0.00137362537907928,0.00568645311811078
1922,CAPN15,2189.96283980813,0.619265220909491,0.225741415522912,2.74325036668621,0.00608342830262966,0.0226504096684117,2189.96283980813,0.608451546833845,0.260434600713342,2.33629304695793,0.0194759736558202,0.0548241493935041
1972,CASP3,2734.98013062922,0.50265762717584,0.14920095491194801,3.36899738659506,7.5442144148357e-4,0.00397479764528149,2734.98013062922,1.08855086814553,0.171628254364182,6.34249222063234,2.260776293902e-10,4.1249357754994206e-9
2025,CBY1,459.15013283963,0.314880473840229,0.114961009084764,2.73901974545178,0.00616226723436829,0.0228814066232321,459.15013283963,0.423458507784142,0.132287181441509,3.20105472933805,0.00136925521868328,0.00567186799118726
2133,CCDC80,5944.75660865068,0.740569717938991,0.141952858062681,5.2170116758902,1.81832801991578e-7,2.98968919003423e-6,5944.75660865068,0.615008226158126,0.163702483160743,3.75686559106276,1.7205484599226e-4,9.2139161240339e-4
2188,CCNL1,2046.38521213336,0.433534481473552,0.130159165237467,3.33080256532527,8.6595997803844e-4,0.00444991854065724,2046.38521213336,0.347453677682264,0.150643940470875,2.30645638049703,0.0210851447540505,0.0586043826653792
2189,CCNL2,4748.28121272253,0.420555063472489,0.122401596177414,3.43586257537784,5.9067050629416e-4,0.00322428894126298,4748.28121272253,0.565065637317132,0.141670266668343,3.98859725901397,6.64651521972044e-5,3.9482219346541e-4
2464,CENPT,1499.67673385005,0.233777002633495,0.0968028842671221,2.41497972300495,0.0157360856865467,0.0488781977437938,1499.67673385005,0.285014361839423,0.110687723943135,2.57494102946635,0.0100257178370935,0.0313461659745148
2542,CFAP36,1334.4617401371,0.586294859866466,0.106002560463367,5.53094998180807,3.18501142815059e-8,6.69041309248999e-7,1334.4617401371,0.852720987557313,0.124077273401259,6.87249940446113,6.30866439127832e-12,1.47959426772649e-10
2564,CFDP1,1783.63167799787,0.379301863922219,0.146349184507056,2.5917593268443,0.00954865455716519,0.032686560003534,1783.63167799787,0.526541830214036,0.168377039732766,3.12715932676877,0.0017650424611262,0.00702833930089092
2624,CHKA,1711.81725977786,0.315016531723056,0.111925362050829,2.81452323183011,0.00488496466640335,0.0188377513747105,1711.81725977786,1.02086362142397,0.130108112110574,7.84627188008367,4.28587265033748e-15,1.60995871798777e-13
2787,CLK3,2069.66422958356,0.45119864041916,0.111621444174519,4.04222184864151,5.29471021865434e-5,4.1285217328018e-4,2069.66422958356,0.565304966061744,0.128802369301766,4.3889329763594,1.1390816516518e-5,8.18442082339292e-5
2896,COA6,715.419792039208,0.294198159913822,0.0891775421680419,3.29901624065226,9.7024297810702e-4,0.00489907689088086,715.419792039208,0.313474304676958,0.106513609770525,2.9430446057768,0.00325001586949,0.0119676199578983
2909,COG6,1084.44565042134,0.923901788078151,0.17512087171377,5.27579482123778,1.32181916078267e-7,2.25281748788638e-6,1084.44565042134,0.493859910667891,0.205184751912364,2.40690356405637,0.0160884175703386,0.0467571249644544
2938,COL6A3,3178.19774890393,0.340686290791923,0.154632662804421,2.2031974656145,0.0275808338684884,0.0768410015958452,3178.19774890393,1.4263830620197,0.178875337845233,7.97417396496459,1.5340333566959101e-15,6.13139248484241e-14
2960,COMT,1506.33757126914,0.200106700197328,0.0963457651905658,2.07696414888117,0.0378048682541778,0.0986940689855244,1506.33757126914,0.881375876816219,0.110766748444652,7.95704387094675,1.7619825038483702e-15,6.99193529158436e-14
3129,CRTAP,9432.5079853209,0.193169374574271,0.0649231508489627,2.97535427730026,0.00292650353975617,0.0123123128253747,9432.5079853209,0.356746394554494,0.0751318389092298,4.74827183433505,2.05162166499143e-6,1.76301195378903e-5
3131,CRTC2,2469.35663242326,0.54631733446648,0.121861714006019,4.48309248661556,7.35690244322945e-6,7.43584637355634e-5,2469.35663242326,0.459124154698735,0.140061784097879,3.27801161220314,0.00104541094943008,0.00448323321894389
3158,CSGALNACT2,3643.69485133061,0.696522868096846,0.163216986265996,4.26746556244897,1.9770627924289e-5,1.7584042153857e-4,3643.69485133061,0.512984309258514,0.187908441638397,2.72996947229055,0.00633401906510057,0.0210970841046194
3323,CYGB,64.816230845005,1.12333820743863,0.287628709464625,3.90551488941956,9.40249684628402e-5,6.732689613991e-4,64.816230845005,1.52361535279136,0.352935487788677,4.31697974702856,1.58178665660916e-5,1.0973114637764e-4
